transaction_id,account_id,transaction_date,transaction_type,amount,balance_after,merchant_category,is_international,card_present,risk_score
TXN00000144,ACC000959,2024-01-18,WITHDRAWAL,200.9,2368.68,Entertainment,0,1,3.66
TXN00000145,ACC000828,2024-09-18,DEPOSIT,29.6,7975.57,Utilities,0,0,59.67
TXN00000146,ACC000371,2024-05-09,TRANSFER,378.29,6947.02,Utilities,0,0,38.9
TXN00000147,ACC000809,2024-10-27,WITHDRAWAL,7.8,29496.91,Grocery,0,1,88.98
TXN00000148,ACC000441,2024-07-28,PAYMENT,2.61,44916.07,Utilities,1,0,30.2
TXN00000149,ACC000485,2024-05-30,DEPOSIT,3.77,39674.29,Utilities,0,1,43.21
TXN00000150,ACC000219,2024-11-05,PAYMENT,6.35,27371.15,Utilities,0,0,52.79
TXN00000151,ACC000056,2024-11-26,PAYMENT,3.95,21165.54,Grocery,0,0,27.3
TXN00000152,ACC000217,2024-09-28,WITHDRAWAL,3109.78,30971.97,Utilities,0,1,90.85
TXN00000153,ACC000889,2024-06-29,DEPOSIT,2.46,22246.26,Transport,0,1,46.45
TXN00000154,ACC000024,2024-07-22,TRANSFER,355.97,12380.35,Other,0,0,42.42
TXN00000155,ACC000976,2024-01-16,TRANSFER,51.92,33991.95,Grocery,0,0,84.98
TXN00000156,ACC000777,2024-02-28,WITHDRAWAL,85.56,43674.87,Entertainment,1,0,31.2
TXN00000157,ACC000701,2024-04-02,TRANSFER,8.92,18706.23,Utilities,0,1,81.75
TXN00000158,ACC000434,2024-06-14,TRANSFER,104.68,42092.77,Healthcare,1,0,12.23
TXN00000159,ACC000277,2024-08-07,PAYMENT,8.78,21610.99,Grocery,0,1,18.28
TXN00000160,ACC000259,2024-04-05,PAYMENT,345.69,20126.66,Entertainment,0,1,95.08
TXN00000161,ACC000651,2024-07-02,DEPOSIT,407.9,1513.39,Other,0,1,84.24
TXN00000162,ACC000181,2024-05-05,PAYMENT,41.69,34794.42,Transport,0,0,38.79
TXN00000163,ACC000086,2024-02-07,TRANSFER,47.53,40394.38,Entertainment,0,1,63.85
TXN00000164,ACC000146,2024-04-20,DEPOSIT,129.73,33211.49,Utilities,0,1,94.3
TXN00000165,ACC000071,2024-12-02,DEPOSIT,117.12,7652.91,Healthcare,1,1,21.19
TXN00000166,ACC000281,2024-07-09,WITHDRAWAL,423.39,5254.34,Utilities,1,1,5.9
TXN00000167,ACC000415,2024-07-09,PAYMENT,400.09,28685.65,Entertainment,0,1,53.75
TXN00000168,ACC000084,2024-03-15,DEPOSIT,51.54,20135.66,Grocery,0,0,14.26
TXN00000169,ACC000306,2024-06-09,TRANSFER,21.02,21511.98,Healthcare,0,1,18.73
TXN00000170,ACC000895,2024-03-03,DEPOSIT,276.78,48393.23,Healthcare,0,1,89.15
TXN00000171,ACC000730,2024-01-05,DEPOSIT,39.94,36223.74,Entertainment,0,1,0.74
TXN00000172,ACC000463,2024-06-12,WITHDRAWAL,68.54,20648.21,Other,1,1,81.68
TXN00000173,ACC000893,2024-12-18,TRANSFER,157.69,1053.05,Other,0,1,51.7
TXN00000174,ACC000430,2024-01-06,TRANSFER,384.18,1801.38,Utilities,0,0,55.93
TXN00000175,ACC000538,2024-06-17,PAYMENT,91.99,34271.7,Entertainment,0,0,67.18
TXN00000176,ACC000220,2024-04-19,TRANSFER,16.87,41903.16,Healthcare,0,1,43.14
TXN00000177,ACC000686,2024-08-26,DEPOSIT,1986.28,35414.36,Entertainment,0,1,11.56
TXN00000178,ACC000915,2024-10-17,TRANSFER,1165.24,20353.8,Healthcare,0,1,10.28
TXN00000179,ACC000266,2024-06-13,TRANSFER,7.13,1653.67,Utilities,1,1,75.44
TXN00000180,ACC000189,2024-04-29,DEPOSIT,8.82,48373.34,Grocery,0,1,22.1
TXN00000181,ACC000851,2024-10-14,WITHDRAWAL,11.34,49318.17,Grocery,0,0,2.81
TXN00000182,ACC000056,2024-02-03,PAYMENT,298.0,27513.29,Entertainment,0,1,97.96
TXN00000183,ACC000095,2024-07-16,PAYMENT,2143.7,3626.48,Healthcare,1,0,98.04
TXN00000184,ACC000917,2024-05-25,WITHDRAWAL,19.84,27094.53,Grocery,1,1,37.81
TXN00000185,ACC000924,2024-11-04,DEPOSIT,76.6,44627.69,Healthcare,0,1,2.55
TXN00000186,ACC000439,2024-04-18,PAYMENT,12.12,34031.28,Utilities,0,1,72.73
TXN00000187,ACC000351,2024-09-26,WITHDRAWAL,1636.62,36027.46,Entertainment,1,1,83.1
TXN00000188,ACC000987,2024-04-21,WITHDRAWAL,284.19,4339.99,Healthcare,0,0,12.5
TXN00000189,ACC000772,2024-02-22,WITHDRAWAL,10.49,5414.93,Entertainment,0,0,13.55
TXN00000190,ACC000305,2024-10-14,PAYMENT,0.81,6454.7,Healthcare,0,1,82.22
TXN00000191,ACC000169,2024-05-22,PAYMENT,434.93,45228.4,Other,0,1,92.19
TXN00000192,ACC000204,2024-11-07,PAYMENT,17.37,26339.9,Other,0,1,79.08
TXN00000193,ACC000358,2024-12-09,PAYMENT,294.55,39599.6,Healthcare,0,1,20.07
TXN00000194,ACC000965,2024-02-08,TRANSFER,98.24,5853.03,Utilities,0,1,41.15
TXN00000195,ACC000430,2024-10-20,WITHDRAWAL,1.39,46389.37,Entertainment,0,0,60.08
TXN00000196,ACC000494,2024-11-26,TRANSFER,10.87,41074.99,Transport,0,0,16.03
TXN00000197,ACC000487,2024-08-03,WITHDRAWAL,26.89,11315.73,Healthcare,0,1,21.06
TXN00000198,ACC000549,2024-12-15,PAYMENT,14.13,43721.69,Healthcare,0,0,28.29
TXN00000199,ACC000706,2024-08-10,PAYMENT,68.88,13245.79,Other,0,1,50.95
TXN00000200,ACC000803,2024-06-11,TRANSFER,121.85,10346.46,Grocery,0,1,51.08
TXN00000201,ACC000165,2024-06-12,DEPOSIT,1956.12,13285.77,Other,1,0,81.43
TXN00000202,ACC000989,2024-04-11,PAYMENT,140.39,45506.76,Entertainment,1,1,75.3
TXN00000203,ACC000714,2024-04-10,DEPOSIT,1077.29,45788.04,Other,1,1,91.37
TXN00000204,ACC000448,2024-01-26,WITHDRAWAL,21.04,16516.89,Transport,0,1,83.29
TXN00000205,ACC000364,2024-09-09,TRANSFER,561.4,35301.17,Utilities,0,0,25.39
TXN00000206,ACC000935,2024-09-12,DEPOSIT,25.47,33819.69,Transport,1,1,33.13
TXN00000207,ACC000710,2024-01-24,DEPOSIT,8.72,40347.48,Utilities,0,1,50.04
TXN00000208,ACC000585,2024-05-20,PAYMENT,8.02,14895.82,Transport,0,1,1.43
TXN00000209,ACC000399,2024-08-03,DEPOSIT,0.28,25555.91,Other,0,0,90.39
TXN00000210,ACC000843,2024-03-02,DEPOSIT,301.32,33416.93,Transport,0,1,4.43
TXN00000211,ACC000011,2024-03-04,WITHDRAWAL,4.14,1410.22,Other,0,1,32.24
TXN00000212,ACC000575,2024-08-19,TRANSFER,912.59,18899.26,Other,0,1,56.92
TXN00000213,ACC000802,2024-03-28,PAYMENT,38.53,34824.83,Entertainment,0,1,51.78
TXN00000214,ACC000916,2024-11-03,PAYMENT,2.44,12704.5,Other,0,1,65.45
TXN00000215,ACC000612,2024-06-16,DEPOSIT,5.84,47889.43,Grocery,1,1,52.75
TXN00000216,ACC000204,2024-10-29,WITHDRAWAL,79.94,1605.05,Transport,0,0,22.9
TXN00000217,ACC000080,2024-07-15,DEPOSIT,1.27,47908.55,Healthcare,0,1,20.11
TXN00000218,ACC000741,2024-05-01,DEPOSIT,177.66,10916.52,Healthcare,1,0,90.72
TXN00000219,ACC000684,2024-10-22,PAYMENT,2.63,2536.22,Healthcare,0,1,26.4
TXN00000220,ACC000593,2024-01-11,DEPOSIT,12.45,14694.45,Grocery,0,1,28.1
TXN00000221,ACC000632,2024-05-25,DEPOSIT,81.24,39335.49,Other,0,1,41.3
TXN00000222,ACC000149,2024-01-10,WITHDRAWAL,139.1,37646.86,Transport,0,1,13.94
TXN00000223,ACC000332,2024-11-25,PAYMENT,269.2,10521.14,Utilities,1,1,50.73
TXN00000224,ACC000681,2024-10-21,TRANSFER,4.0,9919.83,Utilities,0,0,66.5
TXN00000225,ACC000844,2024-01-03,WITHDRAWAL,29.46,32164.74,Entertainment,1,1,78.6
TXN00000226,ACC000962,2024-08-24,WITHDRAWAL,485.9,22958.33,Grocery,0,1,71.15
TXN00000227,ACC000752,2024-05-25,WITHDRAWAL,29.48,39635.27,Transport,0,1,14.76
TXN00000228,ACC000761,2024-03-08,PAYMENT,98.35,1304.23,Other,0,1,45.61
TXN00000229,ACC000846,2024-07-25,DEPOSIT,75.56,30559.55,Healthcare,0,1,3.86
TXN00000230,ACC000755,2024-01-19,TRANSFER,736.92,36560.53,Grocery,0,1,1.78
TXN00000231,ACC000751,2024-09-30,PAYMENT,21.5,49669.97,Grocery,0,1,44.01
TXN00000232,ACC000325,2024-09-27,DEPOSIT,3.39,33971.21,Transport,0,1,25.3
TXN00000233,ACC000015,2024-01-21,WITHDRAWAL,7.88,11669.07,Other,0,1,68.34
TXN00000234,ACC000155,2024-06-21,PAYMENT,79.65,5498.49,Entertainment,0,1,72.42
TXN00000235,ACC000919,2024-11-26,DEPOSIT,2.37,32081.75,Other,0,1,89.54
TXN00000236,ACC000470,2024-01-09,TRANSFER,18.38,26206.84,Entertainment,0,1,76.07
TXN00000237,ACC000957,2024-02-05,TRANSFER,63.49,44967.35,Entertainment,0,1,4.82
TXN00000238,ACC000152,2024-08-28,DEPOSIT,11.78,36357.74,Healthcare,1,1,37.16
TXN00000239,ACC000512,2024-02-18,PAYMENT,104.97,25536.15,Healthcare,0,1,27.3
TXN00000240,ACC000886,2024-07-31,WITHDRAWAL,232.48,20239.11,Transport,0,1,38.61
TXN00000241,ACC000325,2024-06-03,DEPOSIT,135.61,20278.3,Other,0,1,16.01
TXN00000242,ACC000117,2024-05-20,WITHDRAWAL,2.47,11392.58,Entertainment,0,0,9.77
TXN00000243,ACC000812,2024-06-11,TRANSFER,63.97,964.57,Transport,1,1,52.1
TXN00000244,ACC000994,2024-06-26,DEPOSIT,74.8,28788.04,Entertainment,0,1,72.04
TXN00000245,ACC000691,2024-07-23,TRANSFER,25.49,10699.5,Grocery,1,1,70.19
TXN00000246,ACC000417,2024-02-10,WITHDRAWAL,102.17,10495.51,Utilities,0,1,45.09
TXN00000247,ACC000270,2024-10-11,WITHDRAWAL,95.09,6356.52,Utilities,1,1,52.23
TXN00000248,ACC000534,2024-06-09,DEPOSIT,45.52,9560.81,Entertainment,0,1,51.63
TXN00000249,ACC000740,2024-09-09,DEPOSIT,7.33,1686.28,Transport,0,1,69.16
TXN00000250,ACC000004,2024-11-09,DEPOSIT,51.77,33744.15,Healthcare,0,1,4.79
TXN00000251,ACC000462,2024-01-25,TRANSFER,2284.41,20129.72,Other,0,1,70.99
TXN00000252,ACC000966,2024-07-20,WITHDRAWAL,24.91,28120.08,Entertainment,0,1,58.22
TXN00000253,ACC000853,2024-06-01,WITHDRAWAL,443.46,31884.19,Entertainment,0,1,19.81
TXN00000254,ACC000878,2024-12-22,TRANSFER,59.01,48626.98,Other,0,1,4.91
TXN00000255,ACC000129,2024-08-20,DEPOSIT,11.01,3506.47,Healthcare,0,0,10.85
TXN00000256,ACC000650,2024-09-09,PAYMENT,30.17,20954.09,Entertainment,0,0,52.47
TXN00000257,ACC000461,2024-11-24,DEPOSIT,52.79,12370.31,Grocery,0,1,75.84
TXN00000258,ACC000655,2024-03-03,PAYMENT,202.44,23887.93,Healthcare,0,1,33.47
TXN00000259,ACC000993,2024-07-10,PAYMENT,6374.69,46031.57,Grocery,0,1,37.91
TXN00000260,ACC000593,2024-11-12,TRANSFER,60.91,36226.81,Utilities,1,1,93.41
TXN00000261,ACC000100,2024-02-22,WITHDRAWAL,4.66,33131.28,Other,0,1,21.3
TXN00000262,ACC000038,2024-01-15,WITHDRAWAL,2.0,22118.17,Healthcare,0,0,10.37
TXN00000263,ACC000224,2024-04-24,WITHDRAWAL,23.49,33588.51,Healthcare,0,1,34.34
TXN00000264,ACC000764,2024-01-25,WITHDRAWAL,5.72,1715.53,Transport,1,0,74.59
TXN00000265,ACC000193,2024-01-06,TRANSFER,166.64,29353.31,Transport,0,1,62.61
TXN00000266,ACC000431,2024-03-12,PAYMENT,169.1,27733.45,Other,0,1,41.58
TXN00000267,ACC000714,2024-02-23,WITHDRAWAL,40.77,17397.36,Healthcare,0,1,96.48
TXN00000268,ACC000560,2024-06-14,PAYMENT,203.32,10155.55,Utilities,0,0,73.5
TXN00000269,ACC000793,2024-12-18,TRANSFER,62.15,40397.02,Entertainment,0,0,6.19
TXN00000270,ACC000171,2024-08-11,DEPOSIT,2287.35,2787.72,Other,0,1,74.46
TXN00000271,ACC000616,2024-04-25,TRANSFER,191.0,3576.68,Other,0,1,2.4
TXN00000272,ACC000387,2024-03-28,WITHDRAWAL,327.42,22082.04,Transport,1,0,65.03
TXN00000273,ACC000222,2024-02-15,DEPOSIT,3.02,12702.47,Utilities,0,1,21.05
TXN00000274,ACC000357,2024-04-07,TRANSFER,5.25,37298.08,Other,0,0,69.64
TXN00000275,ACC000215,2024-07-07,TRANSFER,142.26,31746.08,Utilities,0,1,30.98
TXN00000276,ACC000976,2024-10-02,PAYMENT,2.46,38649.49,Other,0,0,87.3
TXN00000277,ACC000196,2024-01-03,TRANSFER,15.66,16301.48,Transport,0,1,33.69
