experiment_id,technique,privacy_score,execution_time_seconds,anonymity_set_size,throughput_tps,storage_overhead_mb,computation_cost,accuracy
exp_00026,smpc,92.07,1.303,13,371.52,70.73,6.9424,0.985
exp_00027,smpc,86.1,6.709,10,54.33,24.77,4.5015,0.9718
exp_00028,tee,93.19,0.988,1,588.97,67.26,6.1178,0.9547
exp_00029,smpc,91.55,3.251,13,957.72,20.07,2.5886,0.9898
exp_00030,mixer,73.67,23.179,97,715.66,77.58,2.5179,0.9584
exp_00031,smpc,80.87,1.89,6,388.95,2.16,8.6875,0.9834
exp_00032,tee,85.65,0.603,1,554.07,44.36,7.9589,0.968
exp_00033,tee,94.52,0.792,1,268.32,68.72,0.1536,0.9798
exp_00034,zkp,98.62,3.68,1,829.83,59.57,8.6507,0.9783
exp_00035,zkp,91.53,1.17,1,381.05,86.21,5.5947,0.9556
exp_00036,mixer,72.24,17.65,98,331.89,38.03,2.1253,0.9708
exp_00037,mixer,89.2,15.54,47,923.16,51.9,0.848,0.9567
exp_00038,smpc,80.11,8.267,10,624.14,57.55,9.7687,0.9713
exp_00039,zkp,90.78,4.152,1,348.67,31.4,5.9212,0.9706
exp_00040,mixer,65.22,5.387,29,433.87,53.17,9.0301,0.98
exp_00041,ring_signature,94.98,1.45,29,919.53,11.47,6.8052,0.9605
exp_00042,smpc,87.58,1.028,7,255.39,83.94,9.6678,0.9873
exp_00043,ring_signature,84.16,1.542,17,906.66,74.53,9.1637,0.9788
exp_00044,mixer,57.06,24.757,11,735.06,46.82,6.5939,0.9843
exp_00045,zkp,97.27,1.512,1,221.24,39.64,2.242,0.99
exp_00046,zkp,94.19,4.477,1,375.21,81.05,0.6361,0.9926
exp_00047,smpc,92.73,3.786,16,937.86,96.42,9.6273,0.9816
exp_00048,zkp,92.76,1.911,1,731.54,21.73,4.9197,0.9581
exp_00049,ring_signature,61.29,0.812,21,906.46,23.33,8.1712,0.9771
exp_00050,ring_signature,86.17,1.668,31,662.75,86.35,2.7868,0.9616
exp_00051,ring_signature,67.06,1.254,24,903.19,20.51,4.5829,0.9672
exp_00052,mixer,80.45,27.741,50,10.58,31.34,7.1747,0.9536
exp_00053,smpc,86.41,2.857,18,970.35,82.68,5.844,0.9772
exp_00054,mixer,71.81,19.749,71,801.48,73.61,0.7738,0.9708
exp_00055,smpc,94.86,8.796,4,497.81,69.7,7.7429,0.9726
exp_00056,tee,91.07,1.261,1,629.96,6.74,7.4865,0.9992
exp_00057,ring_signature,91.64,1.541,47,583.79,1.47,4.6373,0.9691
exp_00058,mixer,89.9,20.598,95,524.56,66.47,5.9082,0.9959
exp_00059,mixer,89.05,5.152,17,191.91,49.31,6.0815,0.9556
exp_00060,zkp,95.82,1.735,1,617.99,28.23,2.996,0.9982
exp_00061,ring_signature,72.87,1.856,44,674.07,91.21,8.2145,0.9751
exp_00062,tee,89.36,1.204,1,684.13,62.64,6.2805,0.9977
exp_00063,ring_signature,62.81,0.559,27,449.57,2.65,8.1324,0.9905
exp_00064,ring_signature,73.14,1.286,38,503.43,67.67,6.0727,0.9884
exp_00065,smpc,83.06,4.028,20,947.51,18.22,4.0222,0.9719
exp_00066,tee,95.96,1.458,1,435.49,15.4,3.3929,0.9549
exp_00067,smpc,80.49,4.728,12,590.17,43.59,1.1872,0.9974
exp_00068,mixer,58.58,6.362,15,706.54,64.87,8.1156,0.9791
exp_00069,tee,85.39,0.631,1,359.37,30.64,3.4073,0.9626
exp_00070,ring_signature,74.04,1.789,23,34.12,3.67,0.0379,0.9903
exp_00071,smpc,90.08,9.357,12,985.42,46.77,1.2194,0.9889
exp_00072,smpc,72.19,8.686,17,606.76,67.14,3.1086,0.9661
exp_00073,mixer,75.44,24.494,94,480.2,89.49,3.088,0.9875
exp_00074,mixer,66.23,26.103,64,553.01,35.13,1.7099,0.9722
exp_00075,smpc,79.17,4.695,6,605.64,86.84,2.3384,0.9759
exp_00076,ring_signature,68.13,1.208,15,451.23,62.48,9.9692,0.9896
exp_00077,smpc,77.21,8.518,20,529.17,4.64,2.6606,0.9922
exp_00078,tee,89.14,0.416,1,175.15,8.62,0.2033,0.988
exp_00079,smpc,84.76,3.433,6,529.3,38.09,2.4823,0.9793
exp_00080,smpc,87.37,2.577,12,703.88,91.86,4.0795,0.9749
exp_00081,tee,89.39,1.132,1,397.41,11.56,1.6997,0.995
exp_00082,smpc,92.62,2.397,5,376.81,6.4,9.3233,0.9761
exp_00083,zkp,94.95,0.544,1,619.62,32.71,5.5323,0.9539
exp_00084,tee,87.11,1.337,1,941.5,54.25,0.6849,0.9621
exp_00085,ring_signature,62.11,1.646,29,357.92,49.63,3.0337,0.9856
exp_00086,tee,91.01,0.489,1,184.02,95.65,8.4925,0.9844
exp_00087,tee,86.44,0.588,1,154.83,62.17,1.9415,0.9741
exp_00088,ring_signature,93.86,1.61,25,448.71,41.62,2.3683,0.9976
exp_00089,zkp,92.11,3.951,1,797.66,32.7,5.0772,0.9767
exp_00090,ring_signature,76.46,0.735,25,651.1,52.86,9.9414,0.9929
exp_00091,smpc,93.38,7.037,8,999.56,44.96,7.7676,0.9824
exp_00092,zkp,92.0,3.933,1,537.75,96.58,1.7569,0.9774
exp_00093,zkp,98.03,1.663,1,160.94,3.36,0.8095,0.9972
exp_00094,tee,86.21,0.636,1,564.35,27.32,4.8597,0.9818
exp_00095,zkp,90.32,2.548,1,69.72,28.27,3.8195,0.9893
exp_00096,zkp,93.13,3.291,1,121.1,38.0,6.1088,0.9633
exp_00097,tee,93.49,0.963,1,369.33,93.22,0.7117,0.9516
exp_00098,smpc,94.38,8.224,13,338.31,48.22,8.4371,0.9897
exp_00099,smpc,86.22,9.145,12,16.94,16.46,3.1063,0.9636
exp_00100,mixer,64.75,17.847,12,137.89,55.64,7.066,0.978
exp_00101,ring_signature,74.94,0.516,41,524.35,85.15,7.3993,0.9519
exp_00102,mixer,71.49,20.258,51,561.06,65.59,7.548,0.9832
exp_00103,smpc,74.52,7.107,5,774.35,5.81,2.9451,0.9972
exp_00104,zkp,96.82,3.896,1,779.5,73.46,7.8177,0.9514
exp_00105,tee,96.31,1.37,1,704.26,33.42,1.4557,0.9611
exp_00106,mixer,83.71,28.988,90,931.8,18.78,8.1993,0.984
exp_00107,ring_signature,93.39,1.772,41,324.97,10.45,5.9022,0.9551
exp_00108,smpc,78.54,7.054,11,672.29,72.65,2.3698,0.9588
exp_00109,ring_signature,94.75,1.385,18,130.77,8.94,0.7762,0.9632
exp_00110,smpc,81.53,8.375,8,433.77,2.17,8.0859,0.9979
exp_00111,smpc,79.37,3.719,8,862.89,62.12,5.9608,0.964
exp_00112,mixer,80.01,11.991,90,303.26,39.28,2.239,0.9952
exp_00113,zkp,96.39,2.329,1,117.46,20.75,3.7189,0.994
exp_00114,tee,94.84,0.938,1,460.77,42.79,4.0011,0.9526
exp_00115,mixer,80.01,6.606,90,448.04,91.94,0.048,0.9899
exp_00116,ring_signature,73.29,1.55,8,440.42,8.3,5.4595,0.97
exp_00117,zkp,97.31,4.79,1,441.52,50.76,8.9053,0.9853
exp_00118,ring_signature,77.11,0.123,24,392.63,81.65,3.2873,0.9977
exp_00119,zkp,96.24,4.341,1,403.92,70.46,7.371,0.9721
exp_00120,zkp,91.29,2.906,1,545.35,90.68,5.8698,0.9837
exp_00121,mixer,79.38,18.499,96,456.24,53.01,8.4962,0.9811
exp_00122,zkp,91.02,3.243,1,313.31,52.84,1.8708,0.9631
exp_00123,ring_signature,76.27,1.18,39,935.74,11.51,9.1644,0.9709
exp_00124,tee,96.47,1.472,1,635.43,26.33,6.4842,0.9696
exp_00125,ring_signature,76.1,1.051,28,948.94,80.44,6.4838,0.9582
exp_00126,smpc,73.36,6.539,4,970.72,83.87,6.7836,0.9581
exp_00127,ring_signature,62.7,1.94,33,891.86,33.47,7.6437,0.9949
exp_00128,ring_signature,63.98,1.631,35,858.87,86.57,8.5376,0.9716
exp_00129,mixer,67.39,26.364,70,943.26,81.05,4.3005,0.95
exp_00130,zkp,91.45,1.282,1,929.17,5.59,0.2385,0.9578
exp_00131,tee,88.96,0.82,1,563.78,76.76,8.4162,0.9966
exp_00132,ring_signature,79.67,1.916,6,321.31,99.63,8.9392,0.9896
exp_00133,mixer,79.46,7.903,14,400.4,29.84,1.1431,0.962
exp_00134,zkp,91.43,3.89,1,378.46,89.0,9.5674,0.9653
exp_00135,tee,89.08,0.349,1,685.83,16.12,0.5824,0.9834
exp_00136,smpc,70.32,8.723,3,760.7,93.21,2.2664,0.9664
exp_00137,mixer,69.18,14.442,21,307.8,71.94,1.6965,0.9783
exp_00138,smpc,92.95,3.586,7,165.98,59.48,9.4564,0.9936
exp_00139,smpc,87.11,9.9,7,74.13,84.61,6.6883,0.963
exp_00140,smpc,86.3,8.216,19,46.11,25.89,4.7914,0.9822
exp_00141,tee,89.78,0.639,1,218.17,83.87,9.646,0.9659
exp_00142,tee,92.51,0.491,1,142.7,88.68,5.8195,0.9691
exp_00143,mixer,51.63,17.254,25,984.01,62.28,1.2814,0.9651
exp_00144,tee,86.93,0.805,1,641.04,56.06,8.5744,0.985
exp_00145,zkp,91.78,1.642,1,268.1,93.2,8.005,0.9753
exp_00146,zkp,99.39,1.984,1,657.61,86.41,0.6839,0.968
exp_00147,smpc,89.44,5.401,4,759.97,43.44,3.2073,0.9822
exp_00148,ring_signature,83.98,0.46,37,356.04,23.98,9.8947,0.9842
exp_00149,smpc,83.52,3.135,17,928.05,18.16,8.6347,0.9682
exp_00150,ring_signature,86.21,1.06,13,671.73,17.17,5.9873,0.9551
exp_00151,mixer,58.97,6.366,51,416.98,52.52,4.2437,0.971
exp_00152,ring_signature,92.21,1.463,6,780.58,81.15,5.0543,0.9534
exp_00153,ring_signature,60.91,0.16,24,860.01,66.37,5.659,0.9982
exp_00154,smpc,87.35,3.788,19,735.56,43.19,8.5074,0.9656
exp_00155,tee,91.91,0.237,1,358.0,22.18,4.7744,0.974
exp_00156,zkp,92.68,2.46,1,910.69,41.61,7.751,0.957
exp_00157,ring_signature,72.56,1.961,21,979.65,23.71,2.1298,0.9927
exp_00158,smpc,83.36,9.646,15,488.02,96.99,8.1732,0.9689
exp_00159,zkp,96.03,4.023,1,666.04,73.29,1.7753,0.9508
exp_00160,tee,86.38,0.735,1,494.29,18.49,1.898,0.9646
exp_00161,zkp,90.52,0.925,1,831.11,11.01,5.2379,0.9575
exp_00162,ring_signature,69.33,1.184,29,931.54,32.35,1.2178,0.9878
exp_00163,tee,93.54,0.218,1,240.25,92.83,8.9422,0.9786
exp_00164,ring_signature,93.66,0.602,23,274.23,48.63,9.5507,0.9525
exp_00165,tee,88.32,0.48,1,755.3,6.68,7.4011,0.9861
exp_00166,smpc,70.15,1.019,13,495.52,19.2,5.5119,0.9583
exp_00167,zkp,95.49,3.89,1,791.6,92.94,7.4155,0.9524
exp_00168,mixer,52.95,21.693,42,582.85,71.11,6.5681,0.9679
exp_00169,mixer,76.77,10.796,34,405.64,72.95,6.5959,0.9781
exp_00170,smpc,76.31,9.227,16,320.06,54.05,8.717,0.9516
exp_00171,tee,85.05,0.849,1,190.9,73.27,5.3953,0.9943
exp_00172,mixer,58.05,21.674,19,858.13,60.12,0.5456,0.9799
exp_00173,mixer,72.21,5.41,91,424.16,88.5,8.4713,0.9935
exp_00174,ring_signature,75.47,0.84,35,222.87,38.08,4.4896,0.9589
exp_00175,zkp,93.29,2.125,1,853.63,35.7,2.9972,0.9884
exp_00176,ring_signature,63.82,1.522,6,643.45,2.41,5.6638,1.0
exp_00177,smpc,89.65,3.856,20,170.51,77.62,3.8692,0.9671
exp_00178,smpc,70.18,1.895,18,971.31,66.15,1.0793,0.9763
exp_00179,mixer,64.34,10.855,49,348.69,78.39,3.7716,0.9994
exp_00180,mixer,82.91,23.412,81,336.18,84.12,1.0913,0.9792
exp_00181,smpc,91.51,8.095,4,748.62,67.92,3.7786,0.9529
exp_00182,tee,94.08,1.468,1,709.81,20.39,4.5007,0.9511
exp_00183,mixer,75.77,27.058,26,858.32,6.89,1.5273,0.9717
exp_00184,smpc,86.88,7.973,12,626.57,12.77,0.5238,0.9749
exp_00185,zkp,90.71,4.362,1,125.28,15.11,8.9187,0.9618
exp_00186,zkp,96.87,2.132,1,889.57,10.39,5.9034,0.9936
exp_00187,smpc,85.52,5.884,6,456.7,19.94,7.5726,0.9958
exp_00188,ring_signature,69.2,1.589,10,555.04,40.77,3.1802,0.9599
exp_00189,tee,90.03,1.469,1,891.38,28.55,0.8467,0.9776
exp_00190,zkp,100.0,1.162,1,480.64,33.88,4.4722,0.9619
exp_00191,mixer,75.62,18.492,86,240.25,58.04,2.5286,0.9867
exp_00192,tee,95.5,0.382,1,472.76,28.6,7.5495,0.9654
exp_00193,smpc,93.89,1.548,3,719.92,58.68,4.3448,0.9903
exp_00194,tee,88.77,0.824,1,203.81,77.6,8.2091,0.9598
exp_00195,smpc,87.55,9.352,5,140.68,67.37,0.167,0.9553
exp_00196,smpc,80.88,7.277,14,313.69,82.24,3.0781,0.9762
exp_00197,mixer,78.35,18.233,95,460.91,6.74,7.0694,0.9657
exp_00198,smpc,71.96,8.351,6,190.19,34.51,6.499,0.968
exp_00199,zkp,97.06,1.48,1,593.21,76.35,0.2573,0.9753
exp_00200,ring_signature,89.04,0.181,41,206.83,11.06,3.0749,0.9649
exp_00201,mixer,86.36,29.58,89,468.54,0.84,3.9628,0.9687
exp_00202,mixer,55.76,17.926,93,426.24,79.69,2.6125,0.98
exp_00203,zkp,91.49,2.887,1,833.49,0.16,3.8852,0.956
exp_00204,ring_signature,75.7,0.19,23,31.22,55.11,4.9853,0.9788
exp_00205,ring_signature,72.21,0.601,17,170.1,39.21,9.529,0.9846
exp_00206,tee,94.97,0.364,1,775.74,34.83,1.3305,0.9842
exp_00207,ring_signature,75.36,0.86,6,968.72,51.85,7.4802,0.9631
exp_00208,mixer,54.29,22.255,57,94.61,41.43,0.0652,0.9513
exp_00209,ring_signature,66.51,0.636,7,288.25,82.1,0.5525,0.991
exp_00210,zkp,91.06,3.377,1,900.22,7.39,6.638,0.9904
exp_00211,smpc,72.42,6.453,6,662.85,64.42,0.626,0.9516
exp_00212,tee,87.05,0.425,1,732.57,46.81,4.9015,0.9819
exp_00213,ring_signature,81.48,0.919,14,177.39,68.39,2.8996,0.9741
exp_00214,tee,86.85,0.814,1,308.99,86.82,0.3552,0.9714
exp_00215,ring_signature,63.49,0.602,22,42.58,24.23,2.204,0.9663
exp_00216,ring_signature,77.67,0.954,11,715.76,83.19,0.9034,0.9989
exp_00217,ring_signature,76.02,0.894,15,219.05,34.44,2.7401,0.9558
exp_00218,ring_signature,94.31,0.296,5,295.81,76.02,9.3988,0.9663
exp_00219,smpc,76.87,8.937,6,586.33,1.02,6.7214,0.9582
exp_00220,mixer,77.86,22.09,51,933.09,70.29,5.3662,0.9908
exp_00221,zkp,97.14,4.982,1,329.23,83.06,1.013,0.991
exp_00222,mixer,77.53,20.367,37,643.57,86.19,7.0582,0.9523
exp_00223,ring_signature,84.71,1.044,33,676.28,59.38,6.6954,0.9721
exp_00224,zkp,93.76,1.809,1,594.87,19.68,6.5445,0.9728
exp_00225,mixer,71.64,10.34,35,376.32,91.72,2.5449,0.9835
exp_00226,mixer,70.74,14.795,21,747.45,30.08,0.987,0.9814
exp_00227,mixer,66.13,21.118,28,463.83,36.72,7.6437,0.9563
exp_00228,zkp,90.65,3.698,1,667.11,9.75,8.3073,0.9863
exp_00229,smpc,94.2,5.796,10,397.52,47.32,9.3309,0.9744
exp_00230,ring_signature,66.66,1.981,18,277.59,79.33,9.4423,0.9679
exp_00231,smpc,81.01,8.569,13,843.48,58.15,0.8105,0.9586
exp_00232,mixer,85.26,29.309,85,324.58,24.64,7.5796,0.9583
exp_00233,tee,90.18,0.46,1,417.69,19.66,1.5813,0.9792
exp_00234,smpc,74.37,1.387,11,574.06,28.92,2.0254,0.9987
exp_00235,zkp,96.24,0.863,1,49.69,87.06,8.8009,0.9781
exp_00236,zkp,91.78,4.504,1,505.0,88.07,0.5858,0.9591
exp_00237,tee,91.01,1.196,1,406.69,77.7,3.9079,0.9931
exp_00238,smpc,81.4,9.268,12,998.13,82.08,7.7534,0.991
exp_00239,smpc,85.23,7.723,13,591.65,87.61,5.531,0.9855
exp_00240,tee,87.98,0.43,1,606.85,97.82,9.1934,0.98
exp_00241,ring_signature,89.23,1.903,15,515.55,83.01,6.3062,0.9886
exp_00242,zkp,100.0,4.776,1,954.58,31.95,3.58,0.9589
exp_00243,mixer,86.52,5.411,49,616.4,58.16,8.895,0.9749
exp_00244,mixer,72.46,16.595,12,964.23,35.3,0.6025,0.984
exp_00245,zkp,93.29,4.03,1,90.93,63.43,6.4188,0.9604
exp_00246,tee,89.26,0.951,1,737.64,71.03,9.6785,0.9513
exp_00247,smpc,92.01,3.306,7,461.33,35.54,0.5982,0.9852
exp_00248,ring_signature,87.79,1.782,10,437.63,88.82,8.3339,0.9941
exp_00249,smpc,92.34,3.635,15,610.76,5.03,7.9619,0.9558
exp_00250,tee,89.63,0.813,1,440.71,56.18,9.4268,0.961
exp_00251,ring_signature,60.1,1.276,12,77.23,8.73,0.5486,0.9749
exp_00252,ring_signature,89.46,1.305,50,961.1,12.19,7.6535,0.9929
exp_00253,zkp,94.73,4.056,1,758.28,60.41,2.3461,0.9603
exp_00254,tee,89.06,1.371,1,227.68,39.57,2.9057,0.9815
exp_00255,smpc,89.15,6.827,8,371.45,73.24,2.0347,0.9586
exp_00256,ring_signature,92.22,1.836,8,803.16,42.83,1.8358,0.9834
exp_00257,mixer,79.28,18.239,25,76.01,70.09,4.5915,0.9653
exp_00258,mixer,80.87,13.56,85,322.11,86.93,8.1069,0.9969
exp_00259,mixer,76.06,16.633,44,948.57,55.01,7.8038,0.9809
exp_00260,zkp,90.12,1.939,1,465.58,3.59,1.4937,0.9838
exp_00261,smpc,73.52,7.635,11,55.59,39.75,3.3102,0.9622
exp_00262,zkp,93.76,4.74,1,777.52,41.62,8.8317,0.9569
exp_00263,smpc,78.1,5.376,18,954.96,66.21,1.8781,0.9593
exp_00264,mixer,87.81,5.416,88,484.5,44.85,0.6354,0.9536
exp_00265,tee,94.12,0.519,1,438.38,13.77,2.3303,0.9785
exp_00266,smpc,80.67,6.537,5,84.87,6.09,1.4507,0.9727
exp_00267,smpc,93.16,2.933,6,295.15,23.43,3.9491,0.9892
exp_00268,tee,85.03,0.253,1,522.89,51.59,3.0406,0.9754
exp_00269,ring_signature,88.83,0.169,40,768.43,73.53,8.9725,0.9539
exp_00270,mixer,56.74,12.029,84,33.04,46.45,7.5034,0.9619
exp_00271,mixer,56.94,5.99,70,137.32,72.31,0.3203,0.9616
exp_00272,mixer,84.47,6.517,64,81.23,88.77,0.608,0.9588
exp_00273,smpc,72.82,9.653,12,533.85,67.63,7.5092,0.9508
exp_00274,ring_signature,87.15,0.515,26,866.32,68.65,7.989,0.9545
exp_00275,ring_signature,92.09,0.159,11,478.84,67.65,9.1484,0.9622
exp_00276,tee,94.59,1.328,1,471.66,50.17,7.8291,0.9615
exp_00277,ring_signature,79.06,0.698,34,88.29,54.3,1.4018,0.9936
exp_00278,tee,90.39,1.477,1,96.11,48.74,4.3101,0.9505
exp_00279,zkp,97.17,3.014,1,492.81,49.7,5.8372,0.9565
exp_00280,zkp,90.61,1.671,1,772.26,24.49,9.077,0.9578
exp_00281,mixer,59.26,8.543,68,854.99,7.15,6.7259,0.9707
exp_00282,ring_signature,76.45,0.935,47,83.73,60.34,8.9116,0.9832
exp_00283,zkp,93.11,2.285,1,699.12,33.2,0.9439,0.9642
exp_00284,ring_signature,62.68,0.769,50,300.57,75.38,4.141,0.9861
exp_00285,tee,85.54,0.384,1,195.2,44.9,7.401,0.9849
exp_00286,tee,89.4,0.383,1,400.37,26.17,2.1906,0.9939
exp_00287,zkp,91.08,3.875,1,265.77,36.15,9.4022,0.9639
exp_00288,zkp,92.77,0.739,1,245.28,25.32,6.1786,0.9824
exp_00289,mixer,88.32,23.765,41,385.02,90.79,4.9789,0.995
exp_00290,ring_signature,91.0,0.669,24,897.68,21.48,4.72,0.9681
exp_00291,mixer,75.23,9.163,72,849.54,82.1,0.7354,0.9975
exp_00292,smpc,84.09,2.717,8,136.67,53.78,0.272,0.9758
exp_00293,ring_signature,75.52,0.234,7,224.94,33.24,8.4874,0.9971
exp_00294,tee,93.37,0.56,1,847.06,52.17,6.507,0.9701
exp_00295,ring_signature,91.89,1.589,34,469.44,95.98,2.2863,0.9765
exp_00296,tee,93.24,0.728,1,412.64,24.69,1.113,0.9992
exp_00297,mixer,53.95,16.354,33,920.61,9.56,2.8692,0.9531
exp_00298,tee,93.93,0.845,1,112.39,91.52,9.2678,0.9988
exp_00299,smpc,80.77,5.931,9,152.02,91.97,0.17,0.9885
exp_00300,smpc,80.7,7.72,4,831.18,23.24,9.7929,0.9989
exp_00301,zkp,99.72,1.3,1,198.48,6.37,1.3711,0.9774
exp_00302,zkp,98.38,1.387,1,985.88,48.67,3.3838,0.9979
exp_00303,ring_signature,61.9,0.46,15,268.09,62.74,6.1653,0.9999
exp_00304,zkp,99.9,4.641,1,659.56,22.93,7.6326,0.982
exp_00305,ring_signature,89.88,1.962,12,71.65,48.6,6.6272,0.9928
exp_00306,zkp,94.94,4.25,1,159.61,58.52,8.2537,0.9523
exp_00307,mixer,79.92,11.063,28,925.98,4.27,6.0401,0.9785
exp_00308,tee,97.74,1.38,1,785.78,96.89,8.8527,0.9529
exp_00309,smpc,84.26,8.367,19,107.47,0.5,3.9158,0.9936
exp_00310,mixer,51.71,22.983,54,945.26,93.08,9.5532,0.9861
exp_00311,ring_signature,83.71,1.291,12,346.05,59.85,6.9108,0.9997
exp_00312,mixer,52.31,15.83,81,328.96,15.41,7.6436,0.9564
exp_00313,ring_signature,79.95,0.697,11,251.92,41.71,2.4636,0.9638
exp_00314,smpc,86.76,9.965,6,230.93,20.24,4.3455,0.9568
exp_00315,tee,87.97,0.539,1,796.12,56.42,5.7223,0.9518
exp_00316,tee,95.6,1.148,1,420.36,26.03,9.8079,0.964
exp_00317,ring_signature,88.44,1.727,34,581.47,70.66,2.2483,0.964
exp_00318,smpc,90.59,1.253,17,992.49,3.67,1.364,0.992
exp_00319,smpc,89.61,7.224,14,960.36,87.23,3.3049,0.9956
exp_00320,ring_signature,77.37,1.404,42,307.76,83.2,9.4763,0.9944
exp_00321,mixer,67.13,7.536,75,556.37,35.37,4.6692,0.9932
exp_00322,smpc,76.16,8.414,18,991.97,33.03,7.4747,0.9501
exp_00323,tee,97.3,1.318,1,426.2,56.51,6.9227,0.9671
exp_00324,tee,87.95,0.926,1,787.23,95.89,1.9118,0.9634
exp_00325,smpc,82.15,6.382,5,578.76,48.62,4.221,0.964
exp_00326,smpc,88.54,9.764,9,754.9,73.3,0.2027,0.9809
exp_00327,mixer,80.94,23.2,16,484.04,52.37,8.4078,0.981
exp_00328,tee,90.19,0.77,1,356.55,24.08,3.7842,0.9945
exp_00329,zkp,90.47,2.235,1,577.32,12.67,6.839,0.9829
exp_00330,zkp,92.91,1.226,1,841.89,89.52,7.3853,0.9794
exp_00331,zkp,98.27,4.404,1,753.15,86.15,6.0252,0.952
exp_00332,smpc,93.63,8.1,6,712.78,57.59,0.2532,0.9872
exp_00333,smpc,72.83,2.678,3,283.27,15.94,8.5287,0.9648
exp_00334,smpc,81.4,2.084,10,14.11,19.36,1.4579,0.9611
exp_00335,zkp,91.61,2.799,1,599.57,32.67,0.5297,0.9787
exp_00336,mixer,78.99,22.122,73,968.36,97.41,5.1548,0.9856
exp_00337,smpc,73.49,5.651,12,724.84,73.34,0.1655,0.9911
exp_00338,zkp,93.68,0.6,1,708.14,43.53,9.1254,0.9581
exp_00339,mixer,58.89,21.278,94,120.47,65.22,9.839,0.9569
exp_00340,tee,92.89,0.77,1,373.33,38.64,2.2092,0.9834
exp_00341,mixer,67.08,13.881,77,28.29,61.12,0.2213,0.9632
exp_00342,zkp,98.64,4.499,1,920.77,80.85,8.28,0.9867
exp_00343,ring_signature,63.78,0.653,6,678.5,94.9,4.1662,0.9952
exp_00344,zkp,98.82,2.533,1,785.13,21.52,2.8154,0.9919
exp_00345,tee,93.56,0.975,1,625.49,82.9,6.1901,0.9805
exp_00346,zkp,93.97,3.179,1,30.61,27.63,0.8195,0.9879
exp_00347,ring_signature,87.76,1.95,48,816.21,1.7,9.5297,0.9779
exp_00348,smpc,86.18,7.535,16,661.71,34.49,3.6856,0.9848
exp_00349,tee,92.85,0.372,1,711.74,88.71,6.4392,0.9641
exp_00350,ring_signature,94.64,0.688,41,324.4,0.65,6.7534,0.9732
exp_00351,smpc,94.2,2.65,3,70.58,19.12,1.6374,0.9938
exp_00352,ring_signature,88.54,0.115,15,701.07,17.36,9.4776,0.97
exp_00353,zkp,90.41,1.624,1,275.56,78.59,1.3199,0.9657
exp_00354,zkp,93.49,2.758,1,325.89,34.59,5.7723,0.9844
exp_00355,tee,97.8,0.754,1,627.6,64.13,2.9363,0.9574
exp_00356,smpc,82.53,4.198,19,54.29,13.01,8.5481,0.9538
exp_00357,mixer,79.06,25.584,90,796.84,91.78,4.032,0.9869
exp_00358,mixer,89.78,12.245,70,164.59,37.17,9.8192,0.9955
exp_00359,zkp,99.52,2.378,1,550.6,60.9,1.0615,0.9955
exp_00360,smpc,87.69,2.054,10,311.88,68.98,3.5433,0.9988
exp_00361,ring_signature,88.85,1.993,49,118.32,99.26,3.3272,0.9682
exp_00362,zkp,98.0,3.171,1,443.03,38.31,5.6265,0.9559
exp_00363,zkp,93.36,4.765,1,557.31,0.93,3.0935,0.9546
exp_00364,ring_signature,87.19,1.498,31,290.8,14.69,0.56,0.9723
