sensor_id,timestamp,temperature,humidity,pressure,light_level,motion_detected,battery_level,signal_strength,device_status
SENSOR_048,2026-01-23 23:33:09.937674,20.41,60.96,1008.49,402,1,28.2,-57,Active
SENSOR_023,2026-01-24 09:33:09.937676,19.43,38.19,1011.33,939,0,74.0,-46,Active
SENSOR_035,2026-01-24 04:00:09.937677,23.3,33.83,1025.33,385,1,25.7,-66,Active
SENSOR_017,2026-01-23 18:54:09.937679,28.23,63.2,1021.95,953,1,67.6,-75,Error
SENSOR_043,2026-01-23 21:57:09.937681,29.76,75.6,1036.99,137,0,37.6,-83,Active
SENSOR_032,2026-01-23 19:11:09.937683,23.23,53.03,1014.03,715,0,44.3,-56,Sleep
SENSOR_017,2026-01-24 13:12:09.937685,14.24,32.05,1015.0,813,0,30.4,-70,Active
SENSOR_024,2026-01-23 21:14:09.937687,19.43,74.01,1008.39,721,1,39.9,-72,Active
SENSOR_030,2026-01-24 09:01:09.937689,19.98,33.35,1010.96,530,1,85.7,-45,Sleep
SENSOR_001,2026-01-24 08:07:09.937691,23.84,73.38,1023.78,805,0,71.1,-80,Idle
SENSOR_023,2026-01-24 06:15:09.937692,22.28,49.59,1013.0,292,0,96.0,-47,Error
SENSOR_020,2026-01-24 07:12:09.937694,18.56,48.27,1004.93,474,0,23.9,-80,Idle
SENSOR_046,2026-01-24 13:53:09.937696,15.74,57.14,1009.24,879,0,83.4,-31,Active
SENSOR_022,2026-01-24 15:08:09.937698,17.66,77.85,1012.1,461,0,75.9,-80,Active
SENSOR_034,2026-01-24 03:58:09.937700,17.47,74.94,1005.57,812,0,40.9,-69,Sleep
SENSOR_050,2026-01-24 03:32:09.937702,30.11,53.52,1008.42,372,0,78.3,-70,Active
SENSOR_043,2026-01-24 00:40:09.937703,18.15,64.79,1003.0,161,0,77.3,-64,Active
SENSOR_039,2026-01-24 12:51:09.937705,22.3,59.02,1008.77,641,1,56.7,-73,Active
SENSOR_031,2026-01-23 22:15:09.937707,26.84,64.67,1024.66,43,1,75.1,-49,Active
SENSOR_008,2026-01-24 01:02:09.937709,22.97,71.47,1013.48,864,1,55.6,-43,Active
SENSOR_018,2026-01-23 20:19:09.937711,16.57,31.72,1037.61,82,0,46.8,-51,Idle
SENSOR_044,2026-01-24 11:09:09.937713,26.93,46.29,1005.36,891,1,57.3,-53,Active
SENSOR_034,2026-01-24 11:46:09.937715,23.77,77.97,1017.85,635,1,91.6,-61,Active
SENSOR_047,2026-01-24 02:25:09.937717,11.07,77.47,1015.22,538,0,50.8,-40,Idle
SENSOR_041,2026-01-24 17:23:09.937720,28.23,30.56,1019.5,815,0,52.3,-46,Active
SENSOR_002,2026-01-24 12:13:09.937722,26.37,40.07,1006.94,861,1,68.7,-44,Idle
SENSOR_010,2026-01-24 13:47:09.937724,23.69,79.69,1009.32,518,0,80.2,-46,Active
SENSOR_027,2026-01-24 03:37:09.937726,30.17,54.64,1017.07,410,0,78.8,-58,Error
SENSOR_015,2026-01-24 08:55:09.937728,26.25,58.64,1007.95,340,0,21.6,-70,Active
SENSOR_043,2026-01-23 22:59:09.937730,27.64,38.32,995.27,710,0,75.0,-31,Active
SENSOR_010,2026-01-24 01:52:09.937732,27.18,74.72,1026.1,623,0,56.0,-32,Sleep
SENSOR_023,2026-01-24 14:28:09.937734,25.79,41.56,1021.88,88,0,61.9,-89,Idle
SENSOR_032,2026-01-24 13:36:09.937736,13.05,39.48,1008.83,639,0,64.9,-78,Active
SENSOR_002,2026-01-24 16:45:09.937737,13.64,41.41,1015.18,229,0,78.5,-89,Error
SENSOR_016,2026-01-24 03:11:09.937739,26.25,75.98,1023.07,17,1,86.5,-34,Active
SENSOR_037,2026-01-24 17:05:09.937741,28.16,65.14,1026.44,800,1,71.7,-48,Error
SENSOR_048,2026-01-23 18:21:09.937743,18.47,68.43,1014.04,672,0,65.1,-46,Active
SENSOR_045,2026-01-24 12:13:09.937745,16.43,48.85,1007.15,863,0,49.9,-60,Active
SENSOR_028,2026-01-24 15:25:09.937747,23.31,75.46,1027.64,889,0,31.0,-81,Active
SENSOR_024,2026-01-24 13:23:09.937749,14.74,69.47,1013.95,280,0,96.7,-68,Active
SENSOR_014,2026-01-24 00:20:09.937751,21.16,67.53,1011.53,909,1,56.9,-69,Active
SENSOR_048,2026-01-23 23:50:09.937752,20.22,78.55,1015.63,421,0,65.3,-44,Active
SENSOR_006,2026-01-24 04:40:09.937754,20.88,48.31,1024.55,677,0,80.1,-62,Active
SENSOR_013,2026-01-24 03:30:09.937756,31.42,60.55,1012.61,771,0,25.5,-58,Active
SENSOR_025,2026-01-24 05:49:09.937758,18.83,75.5,1022.86,875,0,88.4,-60,Active
SENSOR_041,2026-01-24 13:33:09.937760,22.27,69.54,1010.91,701,0,83.8,-77,Sleep
SENSOR_007,2026-01-24 04:11:09.937762,15.44,58.17,1019.09,337,0,82.0,-81,Active
SENSOR_018,2026-01-23 18:07:09.937764,26.7,33.81,1003.52,265,1,21.8,-73,Idle
SENSOR_041,2026-01-23 22:54:09.937766,21.1,62.64,1023.7,802,0,62.1,-80,Error
SENSOR_044,2026-01-24 09:40:09.937767,27.89,56.33,1006.24,354,0,24.3,-52,Active
SENSOR_035,2026-01-24 07:54:09.937769,9.71,39.21,1017.59,359,0,64.1,-44,Error
SENSOR_029,2026-01-24 13:51:09.937771,21.71,74.11,998.13,790,0,77.5,-88,Active
SENSOR_034,2026-01-24 06:25:09.937773,22.66,47.16,1013.25,216,0,29.7,-89,Active
SENSOR_012,2026-01-24 06:25:09.937775,26.56,49.37,1014.88,320,0,75.6,-37,Active
SENSOR_017,2026-01-23 21:43:09.937777,18.79,63.62,1006.19,849,1,56.0,-83,Active
SENSOR_044,2026-01-23 21:08:09.937779,25.93,54.44,1011.9,718,0,84.9,-60,Sleep
SENSOR_023,2026-01-23 20:52:09.937780,19.36,34.46,1015.62,664,0,62.7,-83,Active
SENSOR_022,2026-01-24 14:14:09.937782,22.47,49.37,1018.63,991,0,46.9,-48,Active
SENSOR_026,2026-01-24 16:22:09.937785,26.61,34.72,1014.0,692,0,46.6,-43,Idle
SENSOR_038,2026-01-24 15:23:09.937786,17.35,39.54,1026.32,211,0,91.8,-89,Active
SENSOR_027,2026-01-24 05:48:09.937788,25.7,30.36,1024.58,784,0,56.2,-69,Active
SENSOR_018,2026-01-24 02:35:09.937790,23.67,39.07,1012.69,952,0,52.5,-31,Active
SENSOR_020,2026-01-24 03:57:09.937792,20.33,46.52,999.7,202,0,23.2,-86,Sleep
SENSOR_013,2026-01-23 20:23:09.937794,18.66,56.91,1008.13,716,0,49.1,-84,Idle
SENSOR_003,2026-01-24 02:33:09.937796,11.5,75.96,990.71,984,0,88.0,-71,Active
SENSOR_038,2026-01-24 03:02:09.937798,21.6,57.02,1011.17,915,0,80.9,-63,Active
SENSOR_034,2026-01-24 08:02:09.937800,20.34,65.28,1027.02,895,0,37.7,-78,Active
SENSOR_045,2026-01-24 01:37:09.937801,25.2,47.88,1020.91,152,0,53.0,-89,Active
SENSOR_022,2026-01-23 18:01:09.937803,24.69,67.58,1013.84,681,0,35.7,-59,Idle
SENSOR_040,2026-01-24 13:19:09.937805,27.35,61.02,1005.73,428,0,96.3,-65,Active
SENSOR_008,2026-01-24 11:39:09.937807,27.53,52.99,1014.22,752,0,67.8,-88,Active
SENSOR_028,2026-01-23 21:47:09.937809,37.78,39.69,1034.31,286,0,80.3,-50,Sleep
SENSOR_030,2026-01-24 00:31:09.937811,24.57,45.18,1027.88,756,1,77.1,-49,Idle
SENSOR_037,2026-01-24 15:03:09.937813,17.7,61.05,1011.5,320,1,89.9,-35,Active
SENSOR_023,2026-01-24 12:43:09.937815,26.13,51.3,998.18,435,0,95.9,-78,Active
SENSOR_019,2026-01-24 17:39:09.937817,30.03,74.47,1035.08,591,0,22.6,-34,Active
SENSOR_008,2026-01-23 21:39:09.937819,24.37,41.74,1005.71,495,0,98.0,-70,Active
SENSOR_001,2026-01-23 21:40:09.937821,11.38,33.65,1018.3,603,0,89.6,-46,Active
SENSOR_032,2026-01-24 05:17:09.937823,24.78,59.47,997.41,148,0,50.6,-54,Active
SENSOR_044,2026-01-23 18:54:09.937824,18.85,74.3,1009.77,541,1,87.0,-68,Idle
SENSOR_010,2026-01-23 19:45:09.937826,15.39,48.24,997.37,634,0,78.9,-84,Error
SENSOR_030,2026-01-24 02:26:09.937828,22.93,62.39,1001.38,898,1,83.4,-74,Active
SENSOR_044,2026-01-24 04:58:09.937830,14.37,41.57,1003.75,481,0,37.7,-63,Active
SENSOR_010,2026-01-24 06:58:09.937832,27.12,57.92,1017.77,325,0,71.9,-44,Idle
SENSOR_034,2026-01-24 02:56:09.937834,25.65,69.34,1012.04,938,1,22.1,-61,Sleep
SENSOR_019,2026-01-24 11:53:09.937835,21.57,73.35,1040.12,28,1,87.9,-86,Sleep
SENSOR_040,2026-01-24 00:33:09.937837,19.25,35.26,1024.34,258,1,96.1,-67,Active
SENSOR_036,2026-01-23 21:50:09.937839,21.08,47.82,1024.55,697,1,73.0,-84,Active
SENSOR_043,2026-01-24 08:22:09.937841,16.95,61.98,1018.04,928,0,61.0,-32,Idle
SENSOR_011,2026-01-24 14:36:09.937843,21.61,31.74,1015.76,74,0,78.1,-57,Active
SENSOR_020,2026-01-24 09:59:09.937845,7.78,64.53,1024.89,556,0,46.1,-35,Active
SENSOR_032,2026-01-24 07:46:09.937847,22.44,56.4,989.19,580,0,70.1,-41,Active
SENSOR_019,2026-01-24 01:04:09.937849,22.57,44.43,1006.78,497,1,77.5,-49,Idle
SENSOR_005,2026-01-24 06:16:09.937850,26.23,70.73,999.4,415,1,31.4,-58,Active
SENSOR_019,2026-01-24 16:16:09.937852,23.5,44.5,994.16,878,1,31.2,-32,Sleep
SENSOR_001,2026-01-23 22:39:09.937854,26.89,79.57,1005.31,721,0,77.3,-64,Active
SENSOR_030,2026-01-24 00:14:09.937856,24.74,70.82,1001.52,750,0,54.5,-77,Idle
SENSOR_003,2026-01-23 23:59:09.937858,27.18,65.4,1024.94,339,1,91.1,-32,Active
SENSOR_014,2026-01-23 22:07:09.937860,35.11,33.07,1013.92,307,0,45.0,-72,Active
SENSOR_019,2026-01-24 00:34:09.937862,24.1,75.22,992.9,703,0,23.4,-43,Idle
SENSOR_038,2026-01-24 03:21:09.937863,22.92,69.5,1016.14,883,1,72.0,-40,Idle
SENSOR_008,2026-01-24 08:10:09.937865,27.94,41.45,1002.88,614,0,74.7,-53,Sleep
SENSOR_004,2026-01-24 06:53:09.937867,19.66,49.61,1013.62,240,1,64.3,-79,Active
SENSOR_032,2026-01-24 04:48:09.937869,21.4,43.43,1016.94,252,0,74.7,-88,Active
SENSOR_020,2026-01-24 07:02:09.937871,24.1,79.22,1005.5,935,0,61.9,-84,Active
SENSOR_001,2026-01-24 11:49:09.937873,22.36,72.71,1015.17,219,0,75.4,-35,Active
SENSOR_028,2026-01-24 13:01:09.937875,22.34,76.51,1017.02,396,0,23.5,-56,Sleep
SENSOR_023,2026-01-24 16:29:09.937877,26.5,69.44,1011.36,985,0,49.5,-66,Active
SENSOR_043,2026-01-24 10:43:09.937881,13.52,52.82,1005.8,335,0,36.9,-42,Active
SENSOR_001,2026-01-24 03:13:09.937883,32.17,40.27,1013.03,728,1,27.9,-76,Active
SENSOR_004,2026-01-24 00:11:09.937885,24.43,40.4,1011.61,713,1,38.7,-72,Active
SENSOR_017,2026-01-24 08:25:09.937887,20.0,37.58,1016.17,28,0,35.3,-31,Sleep
SENSOR_009,2026-01-23 22:17:09.937889,30.14,57.33,1010.36,493,0,97.9,-72,Active
SENSOR_023,2026-01-23 20:54:09.937891,22.52,76.0,1001.08,958,0,42.9,-68,Active
SENSOR_019,2026-01-24 07:11:09.937893,22.65,79.59,1011.31,997,1,38.5,-80,Idle
SENSOR_033,2026-01-24 14:31:09.937895,20.93,44.36,1016.27,723,0,86.8,-32,Active
SENSOR_043,2026-01-24 06:03:09.937896,29.34,64.87,1014.85,501,0,53.5,-70,Active
SENSOR_050,2026-01-24 08:11:09.937898,21.95,59.85,1011.89,153,0,53.7,-39,Active
SENSOR_036,2026-01-24 12:15:09.937900,19.21,54.45,1008.13,991,0,55.5,-57,Active
SENSOR_010,2026-01-24 13:52:09.937902,26.99,63.29,1007.62,230,0,53.3,-52,Active
SENSOR_006,2026-01-24 08:05:09.937904,27.91,48.57,1008.65,101,1,46.1,-40,Active
SENSOR_046,2026-01-24 08:34:09.937906,30.03,77.22,1023.76,826,1,42.9,-84,Active
SENSOR_018,2026-01-24 01:18:09.937907,25.17,65.27,1003.52,176,0,90.6,-49,Active
SENSOR_010,2026-01-24 02:56:09.937909,27.73,67.71,1013.91,692,0,32.9,-47,Active
SENSOR_047,2026-01-24 10:16:09.937911,20.7,42.12,1000.42,983,0,34.5,-36,Active
SENSOR_013,2026-01-24 12:08:09.937913,27.13,38.43,1020.65,926,0,65.7,-64,Sleep
SENSOR_028,2026-01-24 08:04:09.937915,25.71,49.72,1007.64,231,0,47.5,-41,Active
SENSOR_038,2026-01-24 09:03:09.937917,24.65,68.33,1004.74,11,0,53.7,-68,Sleep
SENSOR_006,2026-01-23 21:13:09.937919,14.21,76.94,1015.15,185,1,84.5,-53,Active
SENSOR_019,2026-01-24 14:17:09.937920,20.06,51.37,988.39,760,0,92.3,-33,Active
SENSOR_015,2026-01-24 10:00:09.937923,21.77,68.71,1000.01,931,0,83.2,-71,Active
SENSOR_003,2026-01-23 19:10:09.937925,24.66,53.52,1016.61,265,0,38.8,-64,Error
SENSOR_031,2026-01-24 08:24:09.937926,34.0,44.76,1023.15,901,0,98.4,-38,Active
SENSOR_023,2026-01-24 13:06:09.937928,26.3,66.96,1017.51,134,0,49.1,-31,Active
SENSOR_016,2026-01-24 14:38:09.937930,17.95,69.91,1014.39,756,0,33.5,-83,Error
SENSOR_044,2026-01-24 10:51:09.937932,19.6,40.14,1037.1,30,0,60.0,-54,Sleep
SENSOR_041,2026-01-23 23:04:09.937934,28.95,45.26,1017.91,858,1,78.0,-88,Active
SENSOR_025,2026-01-24 00:33:09.937935,19.38,54.74,1002.55,455,0,26.7,-89,Error
SENSOR_028,2026-01-24 12:09:09.937937,27.09,39.33,1023.25,258,0,70.7,-69,Idle
SENSOR_026,2026-01-24 16:58:09.937939,22.59,76.44,1006.59,103,0,88.6,-85,Active
SENSOR_007,2026-01-23 21:29:09.937941,21.17,59.57,1005.92,430,0,40.9,-52,Active
SENSOR_017,2026-01-24 16:33:09.937943,19.45,36.06,999.19,381,0,75.4,-51,Active
SENSOR_020,2026-01-23 23:29:09.937945,6.77,39.2,1008.89,468,1,52.0,-55,Active
SENSOR_039,2026-01-23 23:33:09.937947,24.7,77.72,1000.71,512,0,53.1,-47,Idle
SENSOR_020,2026-01-24 11:15:09.937949,16.74,66.91,1018.57,940,0,42.5,-67,Active
SENSOR_012,2026-01-24 17:41:09.937951,14.91,66.72,1011.75,949,0,70.0,-79,Active
SENSOR_037,2026-01-24 01:14:09.937952,23.24,33.62,999.39,945,0,48.9,-74,Sleep
SENSOR_028,2026-01-24 17:02:09.937954,27.15,74.76,1012.19,206,0,86.5,-69,Active
SENSOR_044,2026-01-24 05:18:09.937956,13.52,52.19,1022.94,646,1,97.0,-37,Error
SENSOR_021,2026-01-24 10:58:09.937958,27.02,62.99,1029.22,446,0,94.8,-72,Error
SENSOR_038,2026-01-24 08:17:09.937960,17.48,77.98,995.1,782,1,33.1,-82,Sleep
SENSOR_009,2026-01-23 22:25:09.937962,25.24,35.0,1005.22,88,0,21.1,-79,Idle
SENSOR_044,2026-01-24 03:21:09.937964,24.89,54.11,1000.11,194,0,55.1,-31,Active
SENSOR_050,2026-01-24 02:43:09.937965,20.97,32.48,1016.54,413,0,78.3,-59,Active
SENSOR_013,2026-01-24 00:08:09.937968,22.15,54.98,998.91,121,0,98.2,-38,Active
SENSOR_017,2026-01-24 13:36:09.937969,20.02,42.61,1023.59,461,0,82.7,-60,Active
SENSOR_009,2026-01-24 02:25:09.937971,23.32,75.55,1025.04,115,1,66.4,-74,Active
SENSOR_027,2026-01-24 07:50:09.937973,23.27,49.92,1021.18,195,0,22.1,-68,Active
SENSOR_036,2026-01-24 14:10:09.937975,17.38,61.69,1005.83,35,0,86.0,-81,Error
SENSOR_013,2026-01-24 13:49:09.937977,15.21,73.01,1006.46,66,1,34.2,-61,Sleep
SENSOR_020,2026-01-24 02:44:09.937979,27.04,79.18,1008.43,644,0,24.4,-72,Active
SENSOR_020,2026-01-24 03:09:09.937981,23.02,55.19,1024.05,280,1,88.0,-65,Active
SENSOR_006,2026-01-24 01:04:09.937983,26.35,52.79,996.02,478,0,65.3,-65,Active
SENSOR_020,2026-01-24 08:56:09.937984,18.65,33.79,1016.86,10,0,30.3,-80,Sleep
SENSOR_037,2026-01-24 14:57:09.937986,17.88,30.64,1003.67,967,0,50.9,-71,Active
SENSOR_041,2026-01-24 13:14:09.937988,16.94,60.44,1008.81,729,0,26.8,-37,Active
SENSOR_030,2026-01-24 08:24:09.937990,21.1,33.27,1020.36,321,1,71.0,-35,Active
SENSOR_035,2026-01-23 19:05:09.937992,23.16,49.02,997.85,667,1,42.6,-46,Active
SENSOR_012,2026-01-24 13:56:09.937994,19.28,30.18,1010.22,239,0,89.3,-87,Error
SENSOR_025,2026-01-24 05:50:09.937996,29.82,60.76,1011.71,59,0,48.6,-44,Active
SENSOR_028,2026-01-24 15:13:09.937997,18.79,51.27,1012.63,649,0,59.6,-79,Active
SENSOR_007,2026-01-24 10:19:09.937999,23.24,36.35,1011.97,561,0,25.1,-66,Sleep
SENSOR_009,2026-01-24 15:22:09.938001,17.58,44.82,1018.57,678,0,42.0,-35,Sleep
SENSOR_034,2026-01-24 06:45:09.938003,18.63,58.48,1008.48,164,0,74.1,-33,Sleep
SENSOR_029,2026-01-24 12:34:09.938005,21.57,62.84,1016.65,830,1,78.9,-81,Active
SENSOR_045,2026-01-24 00:36:09.938007,17.84,53.12,1016.3,188,0,39.4,-69,Active
SENSOR_021,2026-01-24 06:28:09.938009,22.45,70.2,1015.86,486,1,60.3,-84,Active
SENSOR_033,2026-01-24 08:29:09.938011,24.2,35.62,1018.28,980,0,85.4,-67,Active
SENSOR_044,2026-01-24 02:26:09.938012,27.47,34.23,1015.82,91,1,50.4,-89,Active
SENSOR_046,2026-01-23 20:23:09.938014,16.6,32.21,1012.1,805,0,30.7,-59,Active
SENSOR_023,2026-01-24 00:24:09.938016,22.84,56.79,1000.31,887,0,54.5,-70,Active
SENSOR_030,2026-01-23 18:58:09.938018,21.69,65.31,1026.57,288,1,68.1,-84,Sleep
SENSOR_023,2026-01-24 15:23:09.938020,12.76,36.53,1029.95,508,1,20.6,-83,Active
SENSOR_028,2026-01-23 18:26:09.938022,16.36,61.95,1009.41,74,1,47.9,-38,Sleep
SENSOR_030,2026-01-24 07:10:09.938024,24.37,53.85,1017.56,556,0,68.6,-40,Active
SENSOR_027,2026-01-24 16:36:09.938025,15.24,79.37,1007.52,427,1,96.2,-53,Active
SENSOR_027,2026-01-24 03:07:09.938027,21.63,65.87,1005.8,384,0,52.7,-70,Active
SENSOR_030,2026-01-24 14:29:09.938029,11.39,62.87,1013.55,52,0,33.0,-83,Idle
SENSOR_002,2026-01-24 00:07:09.938031,21.49,58.52,1041.07,174,0,62.7,-34,Active
SENSOR_036,2026-01-24 07:04:09.938033,11.73,79.87,1028.95,672,1,42.9,-66,Sleep
SENSOR_002,2026-01-24 11:25:09.938035,18.98,79.02,1027.46,578,0,37.2,-63,Active
SENSOR_050,2026-01-23 22:51:09.938037,19.81,56.91,1018.19,473,0,67.2,-63,Sleep
SENSOR_027,2026-01-23 19:21:09.938039,22.62,52.76,1003.82,910,0,93.3,-37,Active
SENSOR_006,2026-01-23 20:32:09.938042,20.74,53.11,1023.37,360,0,86.8,-60,Sleep
SENSOR_049,2026-01-24 16:42:09.938044,15.82,51.42,984.58,269,0,34.6,-39,Active
SENSOR_009,2026-01-23 20:15:09.938046,15.91,56.57,1016.91,406,0,81.3,-55,Idle
SENSOR_040,2026-01-23 20:30:09.938048,13.93,43.68,1023.98,123,0,38.4,-66,Active
SENSOR_020,2026-01-24 17:38:09.938049,23.03,76.34,1014.51,693,0,43.3,-39,Active
SENSOR_016,2026-01-24 09:31:09.938051,22.81,54.51,1029.59,375,1,93.6,-35,Sleep
SENSOR_038,2026-01-24 13:14:09.938053,25.35,72.1,998.74,391,0,92.9,-50,Active
SENSOR_033,2026-01-23 21:54:09.938055,19.5,53.77,1029.01,181,0,33.5,-54,Active
SENSOR_024,2026-01-24 05:04:09.938057,13.33,65.91,1011.42,35,0,25.1,-53,Idle
SENSOR_009,2026-01-24 10:24:09.938058,20.42,46.84,1027.51,211,0,43.4,-40,Active
SENSOR_040,2026-01-23 18:55:09.938060,22.06,61.24,1023.2,895,0,66.5,-79,Active
SENSOR_035,2026-01-24 11:14:09.938062,16.18,54.92,1028.14,947,1,90.2,-54,Active
SENSOR_037,2026-01-24 08:51:09.938064,16.65,48.36,1022.75,133,0,29.5,-54,Idle
SENSOR_019,2026-01-24 01:52:09.938066,24.25,74.08,1019.92,864,0,53.2,-60,Active
SENSOR_004,2026-01-24 12:44:09.938068,22.5,35.64,1026.66,923,0,41.7,-73,Active
SENSOR_049,2026-01-24 01:22:09.938070,27.66,54.35,1013.55,689,1,21.2,-65,Idle
SENSOR_026,2026-01-24 11:31:09.938071,30.61,39.72,1019.02,677,1,83.1,-85,Sleep
SENSOR_009,2026-01-24 00:57:09.938073,14.49,73.05,1012.96,925,0,85.1,-82,Sleep
SENSOR_026,2026-01-24 08:16:09.938075,19.91,42.67,1006.14,490,0,37.7,-80,Idle
SENSOR_043,2026-01-24 13:25:09.938077,22.62,61.67,1018.27,848,0,32.1,-60,Active
SENSOR_001,2026-01-24 11:08:09.938079,23.82,38.28,1014.97,840,0,31.6,-36,Active
SENSOR_030,2026-01-23 20:14:09.938081,27.08,50.25,1025.57,987,0,57.1,-45,Active
SENSOR_049,2026-01-24 14:53:09.938083,25.64,74.97,1011.08,437,0,39.7,-35,Idle
SENSOR_034,2026-01-24 00:17:09.938085,27.69,38.3,1005.39,838,0,60.9,-89,Error
SENSOR_030,2026-01-24 10:36:09.938087,22.31,63.16,1025.43,45,1,50.8,-32,Idle
SENSOR_004,2026-01-24 17:48:09.938089,18.86,40.23,1013.63,667,0,36.9,-62,Active
SENSOR_006,2026-01-24 03:05:09.938090,31.75,50.79,1005.09,400,1,80.1,-45,Active
SENSOR_004,2026-01-24 15:37:09.938092,22.77,57.03,1026.89,487,0,32.0,-34,Active
SENSOR_018,2026-01-24 01:10:09.938094,20.79,58.87,1022.27,431,0,83.9,-40,Active
SENSOR_042,2026-01-23 22:52:09.938096,16.64,60.13,1031.49,427,0,64.9,-49,Idle
SENSOR_007,2026-01-23 21:03:09.938098,22.8,62.01,1009.59,747,0,86.6,-86,Active
SENSOR_022,2026-01-24 10:47:09.938100,27.02,43.59,1008.19,827,0,20.4,-68,Active
SENSOR_039,2026-01-24 11:50:09.938101,19.5,50.07,1002.13,571,0,79.9,-55,Sleep
SENSOR_007,2026-01-24 16:35:09.938103,21.33,31.87,1007.33,516,0,24.1,-84,Active
SENSOR_019,2026-01-24 03:38:09.938105,23.25,68.44,1009.14,964,0,96.0,-35,Active
SENSOR_037,2026-01-23 18:26:09.938107,24.36,71.85,1019.83,461,1,76.2,-78,Active
SENSOR_031,2026-01-24 08:56:09.938109,20.7,39.96,1003.71,965,0,45.6,-49,Sleep
SENSOR_045,2026-01-23 20:58:09.938111,20.03,40.07,1006.37,902,0,45.6,-81,Sleep
SENSOR_022,2026-01-24 04:56:09.938113,19.45,32.1,1029.97,180,0,88.9,-55,Active
SENSOR_004,2026-01-23 20:22:09.938114,16.47,78.52,983.69,144,1,92.2,-75,Active
SENSOR_008,2026-01-23 21:59:09.938116,18.15,70.36,1017.8,826,0,91.3,-76,Active
SENSOR_048,2026-01-24 09:54:09.938118,18.01,48.04,1000.1,264,0,84.7,-38,Active
SENSOR_038,2026-01-23 20:08:09.938120,14.29,54.1,1004.95,734,0,85.5,-48,Active
SENSOR_044,2026-01-24 06:00:09.938122,26.96,44.6,1027.23,405,0,65.8,-72,Active
SENSOR_033,2026-01-24 01:23:09.938124,23.8,59.86,1013.72,812,0,22.3,-70,Active
SENSOR_048,2026-01-23 23:48:09.938126,22.71,65.87,1039.57,968,0,26.9,-35,Idle
SENSOR_046,2026-01-23 19:29:09.938127,28.52,52.37,1019.27,954,0,72.0,-56,Active
SENSOR_004,2026-01-24 11:46:09.938129,25.59,73.68,1004.7,847,0,52.1,-76,Active
SENSOR_045,2026-01-24 07:40:09.938131,18.05,55.85,1018.58,483,0,65.4,-43,Active
SENSOR_014,2026-01-24 10:00:09.938133,27.87,37.21,1024.3,481,0,38.5,-77,Active
SENSOR_034,2026-01-24 07:56:09.938135,26.86,61.11,1018.22,236,0,72.0,-62,Active
SENSOR_010,2026-01-23 19:06:09.938137,16.41,53.11,1010.85,524,0,39.4,-86,Active
SENSOR_036,2026-01-24 01:21:09.938139,26.51,76.78,996.09,338,1,56.9,-33,Idle
SENSOR_048,2026-01-24 01:11:09.938141,19.66,49.59,1009.78,267,0,58.3,-42,Idle
SENSOR_032,2026-01-23 20:24:09.938143,26.99,50.14,1029.68,931,0,34.2,-73,Idle
SENSOR_009,2026-01-24 04:31:09.938144,20.31,62.54,1005.03,265,0,90.1,-40,Active
SENSOR_015,2026-01-23 21:30:09.938146,19.33,56.35,1008.88,527,0,62.1,-90,Idle
SENSOR_044,2026-01-24 05:43:09.938148,19.85,48.72,1022.93,91,0,89.3,-64,Active
SENSOR_041,2026-01-23 23:22:09.938150,17.14,79.49,1019.2,247,1,41.0,-31,Error
