user_id,transaction_count,total_volume,avg_transaction_size,active_days,peak_hour,preferred_gas_price,contract_interactions,token_types_used,privacy_score,risk_score,account_age_days
user_bbb965ab0c80d653,60,8212.22,40.73,345,0,43.36,63,7,0.686,0.43,799
user_44c8031cb036a735,174,8816.71,49.08,86,3,31.58,54,17,0.884,0.759,696
user_b4944c6ff08dc6f4,74,7220.92,10.09,363,3,21.78,52,9,0.89,0.953,252
user_434c9b5ae514646b,25,1645.12,29.68,20,5,39.48,74,4,0.938,0.864,824
user_bdd2d3af3a5a1213,19,8920.99,65.73,155,22,14.55,21,4,0.653,0.01,599
user_8b940be7fb78aaa6,139,7549.47,60.67,227,0,44.23,76,5,0.76,0.419,840
user_cd70bea023f752a0,21,8746.75,74.85,98,12,30.86,26,2,0.524,0.048,974
user_69f59c273b6e669a,195,5096.25,64.99,165,18,3.98,15,13,0.756,0.021,613
user_1da51b8d8ff98f6a,124,3784.11,83.31,80,10,36.61,73,3,0.911,0.389,941
user_8241649609f88ccd,166,5677.38,89.82,110,14,39.92,77,20,0.458,0.766,264
user_6e4001871c0cf27c,159,2195.95,69.14,93,20,5.15,53,1,0.938,0.702,97
user_e3d6c4d4599e0088,84,7458.94,27.7,297,17,43.0,41,5,0.43,0.947,2
user_ad48ff99415b2f00,124,4586.46,76.02,44,22,45.69,25,15,0.717,0.683,708
user_7b1a278f5abe8e9d,35,2241.25,5.89,314,7,7.45,42,5,0.466,0.915,247
user_d6d824abba4afde8,3,5527.29,0.41,282,5,28.67,37,16,0.136,0.196,97
user_29db0c6782dbd500,103,9239.41,52.19,18,21,48.42,16,12,0.308,0.063,840
user_8c1f1046219ddd21,41,9263.1,83.6,269,14,3.39,47,15,0.7,0.39,559
user_ad57366865126e55,151,4586.58,29.91,188,9,28.74,27,13,0.09,0.842,495
user_16dc368a89b428b2,151,6386.66,80.83,31,13,7.57,13,5,0.433,0.269,753
user_37834f2f25762f23,120,4749.66,30.82,62,18,15.79,43,10,0.648,0.182,840
user_454f63ac30c83229,32,2651.99,26.43,326,23,18.36,90,10,0.085,0.646,206
user_5ef6fdf32513aa7c,70,2807.2,52.85,3,7,12.5,76,5,0.59,0.542,990
user_1253e9373e781b75,17,4697.26,68.77,15,8,37.38,93,20,0.317,0.298,705
user_482d9673cfee5de3,168,2512.63,47.83,134,0,43.74,94,14,0.522,0.622,449
user_3346f2bbf6c34bd2,70,8953.68,29.55,283,19,39.5,43,12,0.225,0.495,517
user_9537f32ec7599e1a,195,3897.2,74.86,198,19,10.06,96,5,0.254,0.254,188
user_0fd42b3f73c448b3,192,9529.08,50.96,237,6,46.44,72,8,0.576,0.714,110
user_9bdb2af6799204a2,135,7786.77,61.92,11,5,29.59,97,6,0.372,0.962,909
user_f6e0a1e2ac41945a,3,9101.23,37.44,294,18,26.74,52,4,0.135,0.78,462
user_b1556dea32e9d0cd,164,7343.6,46.01,155,19,29.59,15,7,0.244,0.089,689
user_6c658ee83fb7e812,162,4491.53,31.54,348,7,7.85,19,9,0.033,0.087,367
user_9f1f9dce319c4700,7,8361.11,99.45,45,23,16.67,48,19,0.971,0.922,314
user_28dae7c8bde2f3ca,196,7482.28,12.8,311,4,31.33,10,12,0.149,0.922,125
user_e5b861a6d8a966df,173,9428.0,2.58,2,14,24.27,8,20,0.775,0.06,483
user_2ac878b0e2180616,142,3004.29,92.79,351,22,33.61,3,16,0.068,0.755,705
user_85daaf6f7055cd57,106,8168.69,34.42,209,16,29.18,86,1,0.688,0.475,247
user_3038bfb575bee6a0,3,3636.96,27.35,276,19,35.39,53,19,0.474,0.744,955
user_2abaca4911e68fa9,146,3129.88,35.24,259,2,11.59,56,6,0.476,0.906,540
user_89aa1e580023722d,74,1633.03,96.04,280,3,49.49,63,2,0.833,0.764,7
user_1be00341082e25c4,200,1637.53,49.84,151,16,28.85,44,11,0.96,0.881,24
user_a665a45920422f9d,83,2460.6,41.69,276,19,7.03,52,8,0.687,0.424,107
user_6affdae3b3c1aa6a,175,4898.55,48.88,208,21,44.74,60,20,0.107,0.115,422
user_0f8ef3377b30fc47,14,7329.37,0.2,207,8,25.22,82,15,0.078,0.97,985
user_65a699905c026193,157,3416.91,62.07,147,13,32.07,82,20,0.524,0.56,140
user_922c7954216ccfe7,142,5479.81,40.93,119,4,14.2,60,4,0.601,0.703,312
user_2747b7c718564ba5,131,4839.88,36.25,116,11,10.14,40,6,0.642,0.427,245
user_6566230e3a3ce377,177,6882.28,8.82,98,12,29.11,26,5,0.015,0.974,160
user_38d66d9692ac5900,185,5162.91,98.16,156,23,34.64,84,13,0.981,0.11,706
user_eeca91fd439b6d5e,43,3839.65,37.72,60,0,25.84,100,3,0.618,0.837,910
user_dbb1ded63bc70732,132,4606.64,82.98,153,9,22.7,32,15,0.702,0.287,378
user_d2f483672c0239f6,189,7139.7,28.25,27,22,31.09,61,15,0.386,0.989,97
user_5d389f5e2e34c6b0,81,6987.19,37.03,300,12,17.3,85,7,0.534,0.437,668
user_13671077b66a2987,191,5636.02,38.62,5,23,7.05,2,18,0.798,0.54,484
user_36ebe205bcdfc499,67,1906.93,90.43,153,21,40.28,56,2,0.918,0.937,211
user_d80eae6e96d148b3,189,8699.03,74.87,15,7,16.39,83,20,0.711,0.021,383
user_d6a4031733610bb0,153,6864.8,74.04,314,17,3.16,41,16,0.474,0.896,649
user_8d27ba37c5d81010,1,2696.24,10.32,212,7,37.18,50,14,0.06,0.015,493
user_dbae772db29058a8,79,9170.09,66.72,312,12,45.56,83,15,0.318,0.913,990
user_2c7d5490e6050836,118,2469.94,89.65,348,2,2.73,54,7,0.65,0.74,504
user_d4ee9f58e5860574,31,2464.64,22.67,91,21,24.11,12,20,0.164,0.746,94
user_d6f0c71ef0c88e45,152,247.82,36.28,290,4,27.8,86,12,0.484,0.125,156
user_5ec1a0c99d428601,154,8049.51,47.44,10,14,11.92,11,13,0.209,0.741,111
user_be47addbcb8f6056,170,5329.89,82.89,314,13,47.04,88,18,0.096,0.588,496
user_0a5b046d07f6f971,189,2607.06,81.36,15,11,37.26,36,7,0.014,0.769,207
user_1d28c120568c10e1,139,6850.46,10.39,92,8,4.88,58,18,0.709,0.878,597
user_ec2e990b934dde55,50,2047.71,64.27,301,0,18.06,57,19,0.339,0.24,312
user_05ada863a4cf9660,106,7180.01,79.77,38,3,36.91,15,17,0.507,0.17,636
user_9ae2bdd7beedc2e7,42,5089.55,30.11,264,7,24.91,70,15,0.279,0.325,516
user_8e612bd1f5d132a3,189,6344.93,90.3,202,9,30.7,35,11,0.288,0.34,464
user_043066daf2109523,121,5769.86,17.61,69,23,38.91,99,8,0.519,0.448,737
user_620c9c332101a5ba,5,8483.86,59.16,279,13,1.76,86,9,0.109,0.53,784
user_1d0ebea552eb43d0,152,258.62,77.31,284,9,46.92,19,17,0.378,0.127,265
user_210e3b160c355818,56,3795.65,11.9,235,0,43.54,58,3,0.888,0.726,463
user_0fecf9247f3ddc84,55,7556.06,89.15,53,7,19.22,16,3,0.677,0.386,218
user_c75de23d89df36ba,118,7936.34,42.17,39,9,19.53,91,17,0.595,0.838,831
user_7ed8f0f3b707956d,168,9295.81,4.76,277,6,13.23,100,7,0.312,0.08,305
user_ff2ccb6ba423d356,125,8960.25,5.91,206,20,15.69,35,16,0.173,0.604,887
user_a512db2741cd2069,101,5579.07,69.01,260,8,23.23,2,14,0.38,0.694,238
user_bb668ca955632160,62,922.46,98.89,132,3,11.18,99,19,0.802,0.856,270
user_79d6eaa2676189eb,118,9442.7,76.45,181,8,45.66,89,14,0.852,0.907,466
user_3d3286f7cd19074f,191,720.98,74.28,252,9,48.08,63,8,0.844,0.038,561
user_3f9807cb9ae9fb6c,46,823.77,31.87,211,20,3.14,8,19,0.618,0.074,78
user_bc52dd634277c4a3,197,2279.89,64.69,141,11,33.05,15,8,0.479,0.744,585
user_e0f05da93a0f5a86,66,9341.46,20.68,287,3,31.54,89,19,0.792,0.643,407
user_73d3f1ba062585bc,18,8855.11,64.03,25,23,26.17,77,19,0.836,0.712,541
user_80c3cd40fa35f908,77,1421.06,16.29,123,7,26.88,15,5,0.332,0.775,699
user_f57e5cb1f4532c00,128,4175.05,7.26,144,3,13.67,85,10,0.607,0.182,906
user_734d0759cdb4e0d0,1,3090.37,75.12,161,12,38.89,81,13,0.426,0.747,191
user_284de502c9847342,152,9035.39,43.71,243,3,7.49,7,17,0.776,0.224,513
user_68519a9eca55c68c,175,8289.04,40.71,301,22,40.1,67,4,0.51,0.811,123
user_4a8596a7790b5ca9,16,9927.01,69.53,307,14,15.93,54,15,0.354,0.108,170
user_41e521adf8ae7a0f,137,7131.94,5.96,316,21,41.51,15,14,0.928,0.488,47
user_dac53c17c250fd4d,87,3773.66,36.4,297,10,46.09,19,7,0.862,0.437,272
user_cba28b89eb859497,101,9659.68,33.01,183,18,18.84,42,11,0.49,0.016,719
user_8cd2510271575d84,26,696.69,58.64,198,23,7.34,45,18,0.09,0.227,572
user_01d54579da446ae1,57,478.42,7.01,130,9,28.24,17,7,0.101,0.701,423
user_3068430da9e4b7a6,28,7883.71,92.49,259,12,27.93,27,13,0.129,0.715,704
user_7b69759630f869f2,135,7785.79,73.62,137,0,14.24,21,14,0.925,0.186,829
user_580811fa95269f3e,125,2451.77,58.22,265,16,48.75,33,8,0.459,0.126,70
user_bfa7634640c53da7,157,8962.31,37.43,292,19,20.25,9,3,0.561,0.745,306
user_b8aed072d29403ec,49,6024.58,5.01,204,10,44.24,20,11,0.125,0.326,284
user_52f11620e397f867,85,4637.47,5.0,16,2,20.36,96,10,0.344,0.372,756
user_61a229bae1e90331,163,8146.82,24.63,334,8,17.82,28,4,0.477,0.001,841
user_2811745d7b8d8874,155,2686.11,83.64,210,19,41.78,62,4,0.328,0.57,306
user_38b2d03f3256502b,1,7321.33,18.15,104,8,45.64,47,7,0.223,0.988,305
user_d6061bbee6cf13bd,175,5148.76,6.7,225,10,47.19,28,17,0.781,0.248,36
user_7045d16ae7f043ec,92,5033.42,63.05,335,18,8.7,85,13,0.227,0.761,981
user_2397346b45823e07,131,6612.48,82.71,116,13,20.96,98,20,0.56,0.159,896
user_70260742c2952154,111,7999.07,63.83,304,12,3.95,30,13,0.35,0.683,570
user_eb3be230bbd2844b,165,907.18,96.37,180,14,2.75,32,17,0.873,0.569,960
user_684fe39f03758de6,137,3190.37,31.57,280,15,21.0,53,15,0.458,0.912,283
user_7559ca4a957c8c82,169,3299.63,3.51,112,5,45.99,65,7,0.666,0.807,436
user_1dfacb2ea5a03e0a,78,1788.31,33.28,51,18,11.7,24,11,0.647,0.808,380
user_b4bbe448fde336bb,11,1573.61,50.97,274,23,43.46,26,1,0.302,0.922,843
user_8bcbb4c131df56f7,55,5598.97,67.28,161,16,13.65,49,11,0.289,0.406,143
user_a4e00d7e6aa82111,31,5948.75,50.3,58,14,42.71,27,6,0.571,0.456,747
user_5a39cadd1b007093,29,4226.5,5.67,174,8,46.9,94,12,0.724,0.874,831
user_27badc983df1780b,192,4204.71,64.49,247,4,19.84,46,10,0.352,0.773,287
user_43974ed74066b207,127,2344.43,79.31,142,9,16.04,45,8,0.699,0.845,156
user_c17edaae86e4016a,140,8721.95,22.82,173,8,38.0,57,12,0.965,0.809,336
user_4621c1d55fa4e86c,126,8334.58,11.86,181,4,16.52,96,14,0.597,0.138,802
user_fc56dbc6d4652b31,4,3971.13,41.23,41,8,40.94,24,1,0.151,0.974,250
user_f8809aff4d69bece,165,1913.88,79.59,225,22,40.19,79,12,0.185,0.889,660
user_5cf4e26bd3d87da5,199,9721.56,63.29,75,2,10.13,79,17,0.127,0.6,223
user_968076be2e38cf89,194,1263.88,8.55,56,19,28.68,47,6,0.382,0.553,862
user_8df66f64b5742439,25,841.53,22.0,199,22,46.68,74,20,0.008,0.782,494
user_83f814f7a92e365c,79,6245.51,24.49,297,21,4.51,88,8,0.155,0.191,484
user_d29d53701d3c859e,43,3412.32,1.53,126,8,47.24,49,16,0.649,0.9,523
user_093434a3ee9e0a01,2,7529.67,63.45,26,23,35.77,89,19,0.803,0.32,324
user_fa2b7af0a811b9ac,46,4691.11,9.21,126,19,16.49,45,1,0.487,0.534,837
user_d48ff4b2f68a10fd,130,9765.96,66.36,125,15,25.51,43,3,0.901,0.336,391
user_802b906a18591ead,157,7195.59,40.34,298,17,16.29,14,4,0.217,0.542,934
user_d86580a57f7bf542,186,6264.81,67.66,255,15,36.14,68,2,0.574,0.284,753
user_0f4121d0ef1df4c8,9,5008.04,74.67,193,16,4.12,45,8,0.18,0.402,652
user_16badfc6202cb3f8,50,8318.21,3.39,29,6,22.01,69,4,0.987,0.127,863
user_5966abd0cbfc86f9,178,408.38,72.12,342,13,10.35,66,6,0.689,0.367,52
user_314f04b30f62e005,148,5908.07,7.02,176,4,43.81,65,5,0.682,0.446,493
user_36790ecd55c2030d,58,5286.03,34.95,365,20,40.23,60,15,0.234,0.755,498
user_67e9c3acebb154a2,93,3302.56,8.86,331,12,42.82,27,1,0.762,0.867,474
user_9b871512327c09ce,114,7339.5,54.17,278,19,5.36,34,10,0.211,0.49,999
user_56f4da26ed956730,196,2652.27,55.12,70,15,31.57,61,7,0.954,0.359,243
user_84a5092e4a5b6fe9,114,7656.9,69.84,212,18,14.31,68,3,0.301,0.475,718
user_0e6523810856a138,178,3020.37,10.65,235,9,48.69,58,18,0.437,0.183,442
user_8f1f64db81c40ea1,86,9705.31,80.82,60,1,42.46,28,18,0.723,0.251,797
user_dfe62e836a0a6f26,96,3898.1,93.15,289,4,5.44,11,3,0.114,0.6,428
user_9d693eeee1d1899c,177,5353.15,17.33,27,11,1.71,74,1,0.735,0.179,23
user_08490295488a1189,183,6139.64,64.24,295,23,36.12,29,17,0.714,0.198,918
user_a0eaec5a55dc2f5b,133,9524.76,16.0,145,14,48.95,97,19,0.082,0.957,639
user_138d9e809e386a7b,35,996.03,94.69,340,8,6.7,45,7,0.494,0.47,24
user_835d5e8314340ab8,34,869.68,1.58,6,4,11.37,12,3,0.771,0.556,149
user_c0509a487a18b003,83,9155.99,17.48,270,1,22.26,56,10,0.045,0.207,950
user_114bd151f8fb0c58,103,3122.45,33.78,323,21,39.49,82,8,0.553,0.586,458
user_0a2d643bfd24a028,179,6009.9,19.89,141,6,27.71,93,10,0.735,0.631,219
user_9a049b03f6fc40bf,194,1023.56,5.39,137,1,30.41,99,1,0.477,0.83,455
user_f0bc318fb8965cad,95,8614.92,19.28,318,23,7.3,29,5,0.214,0.318,486
user_8ae4c23b80d1e7c8,150,736.02,14.38,16,10,27.07,96,9,0.144,0.006,211
user_79bf08685d3138f9,44,6037.76,94.99,22,21,18.56,70,12,0.975,0.95,184
user_6af1f692e9496c6d,193,3636.86,89.33,16,17,13.58,57,3,0.969,0.553,218
user_749fc650cacb0f06,23,9610.28,11.35,102,5,37.77,34,1,0.715,0.737,235
user_14063697603e22d6,38,3158.74,43.01,22,8,3.4,20,2,0.106,0.228,36
user_72440a20f54075ac,83,3999.71,15.67,34,7,24.48,85,17,0.633,0.213,979
user_82c01ce15b431d42,159,9817.7,78.98,101,16,11.4,54,7,0.373,0.916,501
user_011af72a910ac4ac,180,5509.67,2.48,34,12,42.06,37,4,0.958,0.205,143
user_37c20f19f3272b5c,193,9099.54,40.46,309,14,3.2,44,17,0.759,0.477,387
user_396f804443825586,124,3388.57,77.74,75,4,48.03,33,1,0.198,0.259,899
user_766cb53c753baeda,124,2495.52,59.56,88,23,17.76,70,12,0.339,0.477,961
user_9f484139a27415ae,48,7129.6,52.2,97,12,15.44,45,3,0.613,0.353,184
user_1e472b39b105d349,26,1094.86,34.64,53,10,7.93,22,13,0.298,0.782,31
user_c75d3f1f5bcd6914,31,1930.06,45.3,269,13,4.35,76,13,0.868,0.415,907
user_d6e5a20b30f87216,79,56.62,39.13,341,1,22.19,85,7,0.348,0.354,228
user_e7866fdc6672f827,183,5407.48,85.29,339,4,7.34,82,6,0.08,0.358,855
user_9512d95d00d61bde,55,7884.71,2.2,174,20,10.8,51,14,0.323,0.297,419
user_9556b82499cc0aaf,161,7819.53,44.73,255,13,37.88,34,12,0.315,0.674,931
user_51e8ea280b44e169,30,6780.04,10.42,255,0,38.31,57,8,0.974,0.146,55
user_4c970004b0678d43,86,2679.55,16.96,236,9,35.69,49,20,0.991,0.621,691
user_a30f4ef42176d28f,71,7408.16,72.71,121,2,40.27,83,6,0.637,0.68,76
user_7c252ab334fb8fd8,146,5878.93,15.84,25,8,23.87,60,19,0.608,0.248,373
user_39bb88f40d3aa2b2,125,8358.25,0.07,107,1,13.86,70,14,0.52,0.428,121
user_e888a676e1926d0c,59,7409.15,29.16,208,10,43.22,71,16,0.368,0.943,403
user_9e6a72557ada15d0,69,8304.84,38.4,326,20,10.78,8,12,0.326,0.269,471
user_4be84111a613654b,121,763.53,42.16,255,10,28.61,67,6,0.796,0.076,801
user_bba58959c32abe68,19,338.64,12.8,321,22,16.06,82,9,0.073,0.03,924
user_768b84ef05f655d5,9,7339.58,7.19,273,17,3.2,22,3,0.597,0.188,544
user_ea5b27556fbb134d,82,6786.24,37.95,307,6,27.41,90,11,0.464,0.934,198
user_8acc23987b8960d8,188,3002.17,94.71,261,18,47.97,56,9,0.393,0.042,641
user_8b496bf96bbcc9e5,198,7834.38,87.37,315,23,18.26,12,12,0.075,0.901,557
user_f747870ae666c39b,140,122.73,82.02,317,7,9.22,73,6,0.782,0.968,866
user_d8d1790737d57ac4,82,3727.48,37.28,261,21,4.36,70,9,0.846,0.303,58
user_3635a91e3da857f7,52,294.87,9.88,131,21,30.78,27,10,0.508,0.733,375
user_1c6c0bb2c7ecdc3b,179,9487.84,6.09,244,16,6.91,1,8,0.666,0.611,861
user_303c8bd55875dda2,112,6828.77,49.92,171,3,45.56,7,1,0.406,0.153,340
user_718127812c05853f,168,5242.95,77.11,198,1,17.41,58,19,0.857,0.723,187
user_3a1dfb05d7257530,134,2643.5,93.71,321,2,4.47,17,6,0.704,0.519,271
user_c76b405781134be1,44,8184.85,66.25,16,14,39.76,16,19,0.34,0.446,480
user_27d719c754aacd49,170,1540.97,83.46,141,15,19.82,58,2,0.009,0.243,723
user_ee62de25ccc2b55d,152,2068.79,79.87,326,21,29.29,7,16,0.846,0.616,248
user_efd96aedf377e20a,125,1669.02,29.92,355,2,22.72,21,2,0.484,0.337,857
user_7f0a22117f8fe017,91,8659.73,74.42,96,17,18.21,41,6,0.211,0.735,169
user_71a1c003a2b855d8,80,287.27,83.83,358,19,31.74,100,14,0.671,0.544,242
user_27e1615212f3c6ea,144,8383.53,44.66,40,9,14.48,60,8,0.569,0.591,174
user_e0850a775c17a870,59,9199.7,84.3,326,3,30.3,47,12,0.371,0.977,559
user_1e68ed4e3d58a510,65,5056.37,84.16,7,5,35.47,66,14,0.956,0.762,815
user_a0d177b4967a6d99,138,3561.79,64.75,41,2,40.76,26,9,0.207,0.425,678
user_00328ce57bbc14b3,146,2097.92,30.96,31,14,38.36,20,12,0.042,0.257,223
user_d7cdaa5ca0582076,92,5939.25,78.97,115,13,36.58,52,10,0.241,0.398,903
user_23c657f2efda7731,92,1373.79,13.96,136,22,40.72,49,12,0.447,0.177,371
user_af180e4359fc6179,142,4074.83,13.3,303,12,41.82,93,5,0.883,0.111,168
user_09895de0407bcb03,145,6275.3,84.76,112,10,49.07,84,15,0.236,0.819,122
user_33512007840ced1b,39,7036.55,86.46,351,15,45.83,12,17,0.353,0.656,943
user_6db6eb4af1e18ab8,58,4508.46,25.54,89,20,19.45,47,17,0.244,0.209,706
user_7cb676d57114874e,90,6613.21,91.38,128,22,22.5,35,17,0.91,0.075,671
user_2cfc8ccbd7c0b176,31,9852.91,40.27,330,16,23.1,22,19,0.645,0.579,156
user_9cfd3c755be26b4e,120,6060.32,74.93,162,18,38.99,63,17,0.159,0.356,623
user_a0f8b2c4cb1ac82a,162,7583.18,50.81,339,16,34.72,38,13,0.092,0.452,852
user_4c15f47afe7f817f,42,7153.59,19.83,332,22,9.14,4,5,0.829,0.033,506
