packet_id,timestamp,source_ip,dest_ip,source_port,dest_port,protocol,packet_size,ttl,flags
70,2026-01-24 07:09:57.900085,182.24.125.190,45.0.75.170,64783,80,TCP,1247,37,RST
71,2026-01-24 01:23:00.900087,21.205.224.60,48.231.149.100,23457,80,TCP,1409,76,ACK
72,2026-01-23 23:29:46.900088,148.111.28.36,167.228.100.53,2113,8080,ICMP,75,54,FIN
73,2026-01-23 19:51:35.900090,138.148.119.209,184.162.153.146,38370,8080,TCP,1160,54,RST
74,2026-01-24 02:14:22.900092,157.163.164.61,183.155.222.184,10151,443,ICMP,651,57,ACK
75,2026-01-24 14:17:30.900093,87.73.113.106,98.45.4.157,11511,5432,HTTPS,264,108,ACK
76,2026-01-24 13:44:13.900095,86.140.31.143,140.206.65.219,1179,3306,ICMP,585,38,PSH
77,2026-01-23 18:03:55.900097,161.89.218.143,85.31.189.231,59438,9000,HTTPS,568,110,ACK
78,2026-01-23 18:12:13.900099,136.24.176.242,150.27.0.181,2982,5432,HTTPS,851,75,FIN
79,2026-01-23 21:49:45.900101,174.195.163.179,153.183.56.221,11717,443,ICMP,1126,58,FIN
80,2026-01-24 10:04:26.900103,116.209.76.77,82.15.120.111,40136,8080,UDP,123,57,RST
81,2026-01-24 02:14:39.900104,106.94.242.62,189.201.162.183,39571,5432,HTTP,641,110,RST
82,2026-01-24 01:27:43.900106,67.153.73.207,107.207.195.112,29819,5432,TCP,384,67,ACK
83,2026-01-24 09:35:00.900108,128.29.211.248,149.108.88.122,56320,8080,HTTP,1495,86,SYN
84,2026-01-24 02:50:10.900109,116.68.198.63,45.96.196.216,22471,443,TCP,986,95,PSH
85,2026-01-24 05:33:45.900111,75.104.169.166,102.213.78.74,37622,8080,TCP,1473,122,SYN
86,2026-01-24 01:23:28.900113,30.230.189.24,181.64.68.3,42838,80,HTTPS,632,88,ACK
87,2026-01-24 03:23:07.900115,147.97.26.69,28.8.73.185,26239,3306,TCP,1165,100,ACK
88,2026-01-24 02:45:25.900116,106.20.37.49,134.223.69.22,60606,8080,TCP,1281,92,SYN
89,2026-01-24 14:26:26.900118,160.111.245.54,45.212.233.229,10818,443,ICMP,1372,33,PSH
90,2026-01-24 06:31:23.900120,95.155.7.55,188.217.92.117,56835,22,HTTP,590,86,SYN
91,2026-01-24 02:21:53.900121,58.60.245.235,140.217.230.99,34233,80,ICMP,587,111,RST
92,2026-01-24 06:31:26.900123,72.104.203.235,100.115.95.109,23448,22,TCP,676,118,FIN
93,2026-01-24 08:37:21.900124,71.164.144.98,164.3.255.217,64302,9000,HTTPS,1243,69,RST
94,2026-01-24 04:16:29.900127,129.183.157.67,70.137.210.238,56101,8080,ICMP,1427,111,FIN
95,2026-01-24 12:20:43.900128,102.254.238.26,149.187.17.251,48270,80,ICMP,188,109,ACK
96,2026-01-24 00:38:06.900130,130.163.104.95,19.247.188.29,57534,3306,UDP,934,60,PSH
97,2026-01-24 15:27:30.900132,90.211.23.145,158.246.40.37,38420,8080,TCP,343,57,SYN
98,2026-01-24 14:34:52.900134,66.74.8.67,144.143.238.133,7394,3306,HTTPS,980,66,PSH
99,2026-01-24 14:47:41.900135,151.213.151.40,30.45.125.121,10552,5432,ICMP,685,110,SYN
100,2026-01-24 14:30:30.900137,60.168.117.98,171.39.159.157,29300,22,ICMP,909,98,RST
101,2026-01-24 02:10:43.900139,155.125.255.141,23.175.5.121,51124,80,HTTPS,737,118,RST
102,2026-01-24 14:23:13.900140,177.172.131.196,126.240.169.108,45357,3306,TCP,1215,60,SYN
103,2026-01-24 04:20:06.900142,135.251.235.44,100.150.148.43,9203,443,UDP,377,65,PSH
104,2026-01-24 13:09:55.900144,100.86.71.185,19.155.133.16,49805,3306,ICMP,395,72,SYN
105,2026-01-23 21:38:45.900146,149.250.94.235,171.242.86.147,56291,443,UDP,1237,72,ACK
106,2026-01-24 15:43:08.900147,148.30.17.215,23.149.13.74,17867,8080,HTTP,99,54,RST
107,2026-01-23 20:33:00.900149,29.24.3.106,134.42.64.130,24976,80,TCP,1109,102,ACK
108,2026-01-23 21:27:21.900151,45.118.34.182,29.142.129.34,54822,3306,HTTP,269,34,RST
109,2026-01-23 21:27:09.900152,48.4.111.130,167.143.140.220,34184,9000,HTTP,702,89,RST
110,2026-01-24 05:54:02.900154,126.191.30.159,75.7.57.155,45922,3306,HTTP,911,63,FIN
111,2026-01-24 13:27:08.900156,173.247.249.5,54.77.228.95,51963,9000,TCP,1443,62,ACK
112,2026-01-24 02:56:44.900158,11.210.6.5,54.133.120.125,30540,80,TCP,503,113,ACK
113,2026-01-24 05:01:43.900159,145.140.146.5,56.16.175.252,57550,3306,HTTPS,792,74,FIN
114,2026-01-24 02:30:14.900161,138.220.91.28,31.74.78.215,11473,443,UDP,1183,38,PSH
115,2026-01-24 16:01:46.900163,34.76.123.50,136.211.196.61,51314,3306,UDP,1004,32,ACK
116,2026-01-24 07:25:49.900165,168.129.181.69,179.225.85.54,62176,22,HTTPS,227,92,SYN
117,2026-01-23 20:02:33.900166,111.40.191.246,157.176.27.165,22149,8080,HTTPS,211,45,FIN
118,2026-01-24 06:31:36.900168,113.235.124.254,77.59.26.43,8442,5432,HTTP,357,83,ACK
119,2026-01-24 05:05:59.900170,188.115.153.176,128.204.243.78,23770,443,HTTPS,258,127,PSH
120,2026-01-24 14:07:50.900171,30.16.47.104,131.119.194.175,3478,22,ICMP,726,37,ACK
121,2026-01-23 20:51:41.900173,107.193.243.15,190.199.242.68,59834,9000,UDP,543,41,RST
122,2026-01-23 23:25:42.900175,173.4.87.22,47.222.6.74,53850,8080,HTTPS,186,102,SYN
123,2026-01-24 10:09:25.900176,137.222.169.145,124.195.161.247,18785,80,ICMP,1487,121,FIN
124,2026-01-24 12:16:09.900178,34.21.117.55,145.21.49.235,16247,443,ICMP,762,61,RST
125,2026-01-23 17:59:30.900180,187.243.138.12,146.181.221.157,7725,5432,ICMP,1028,52,PSH
126,2026-01-24 00:20:48.900181,29.143.16.46,176.139.171.70,3621,8080,ICMP,724,91,RST
127,2026-01-24 09:44:17.900183,90.8.106.151,78.50.130.168,1165,9000,HTTP,1191,112,RST
128,2026-01-24 13:57:45.900185,46.203.39.77,159.200.236.198,3683,5432,ICMP,773,105,PSH
129,2026-01-24 05:09:19.900186,51.123.199.174,182.123.99.134,22004,80,HTTP,459,94,RST
130,2026-01-23 21:38:59.900188,148.169.196.194,96.92.160.141,10055,80,HTTP,975,73,FIN
131,2026-01-24 04:31:13.900190,45.40.177.14,12.4.34.4,16061,9000,ICMP,1424,82,ACK
132,2026-01-24 13:43:11.900192,35.223.118.215,115.50.53.176,61986,443,UDP,1068,95,RST
133,2026-01-24 07:45:37.900193,29.174.203.249,124.179.112.186,47762,9000,ICMP,1229,107,FIN
134,2026-01-23 21:00:01.900195,93.15.139.201,82.128.98.9,39453,3306,ICMP,380,87,ACK
135,2026-01-24 09:40:06.900197,125.251.116.92,16.47.29.241,7166,80,ICMP,1488,111,ACK
136,2026-01-24 02:16:45.900198,151.192.221.48,162.111.62.182,13133,8080,UDP,744,72,RST
137,2026-01-23 21:28:43.900200,184.194.43.198,40.44.66.97,23034,3306,TCP,1397,63,FIN
138,2026-01-23 19:15:59.900202,168.151.126.183,178.94.56.179,9811,22,TCP,558,46,RST
139,2026-01-23 19:33:47.900204,28.42.137.40,57.129.150.120,43888,5432,HTTP,619,93,PSH
140,2026-01-23 18:30:10.900205,107.78.199.82,179.38.232.237,9496,3306,HTTP,673,58,ACK
141,2026-01-23 21:37:57.900207,102.54.46.2,80.218.165.66,50599,5432,UDP,172,59,RST
142,2026-01-24 16:56:48.900209,88.227.184.195,51.37.141.199,24407,9000,HTTPS,435,112,ACK
143,2026-01-23 19:43:47.900210,79.52.67.23,25.195.198.86,62733,3306,TCP,918,95,FIN
144,2026-01-23 17:57:06.900212,57.220.229.143,25.132.135.46,5273,9000,HTTP,679,90,SYN
145,2026-01-24 08:09:55.900214,152.208.52.7,122.35.251.251,48741,22,TCP,831,89,RST
146,2026-01-24 16:50:55.900216,32.181.47.153,61.201.91.166,35542,80,UDP,269,33,RST
147,2026-01-24 11:20:02.900217,163.166.197.4,135.55.73.139,54933,22,UDP,910,67,ACK
148,2026-01-24 07:57:11.900219,84.211.198.200,120.111.54.234,19375,80,HTTPS,106,102,FIN
149,2026-01-24 06:39:10.900220,31.124.86.176,123.132.52.9,5112,9000,HTTPS,928,44,PSH
150,2026-01-24 05:31:48.900222,107.86.71.69,28.36.128.199,54354,80,UDP,1332,46,FIN
151,2026-01-24 05:07:20.900306,87.137.252.38,124.9.254.39,57965,5432,HTTP,1374,120,RST
152,2026-01-24 17:40:49.900312,26.85.222.71,177.0.19.171,16306,8080,TCP,1442,118,PSH
153,2026-01-24 11:17:52.900314,117.153.247.201,109.136.77.180,20354,22,ICMP,848,91,FIN
154,2026-01-24 12:41:13.900316,29.184.128.242,94.200.1.132,43433,3306,HTTPS,539,53,SYN
155,2026-01-23 21:17:01.900319,73.253.100.118,191.251.244.112,22802,22,ICMP,146,94,ACK
156,2026-01-23 17:58:10.900321,37.69.155.2,113.35.115.1,25288,5432,HTTP,1197,121,FIN
157,2026-01-24 03:18:38.900322,111.170.194.206,108.246.62.146,60699,80,HTTPS,253,106,FIN
158,2026-01-24 15:22:09.900324,94.225.171.111,147.183.170.175,6099,5432,ICMP,863,105,SYN
159,2026-01-24 12:44:14.900326,176.69.153.83,87.205.28.162,11436,443,HTTP,999,56,RST
160,2026-01-23 18:50:58.900327,164.102.245.81,175.46.187.137,49478,443,TCP,314,79,ACK
161,2026-01-24 16:47:11.900329,55.203.163.75,97.41.235.195,29389,3306,HTTP,354,74,FIN
162,2026-01-24 14:33:43.900331,187.251.124.84,84.103.90.142,8254,5432,HTTPS,1288,69,PSH
163,2026-01-23 22:35:18.900333,106.143.201.94,20.196.97.77,49224,9000,UDP,389,72,FIN
164,2026-01-24 10:04:12.900334,39.102.92.175,188.199.54.162,12026,3306,TCP,1496,76,ACK
165,2026-01-24 04:12:21.900336,150.13.236.242,186.183.249.22,14971,9000,ICMP,900,119,FIN
166,2026-01-24 02:37:01.900338,191.107.224.205,171.224.97.36,14710,3306,HTTPS,571,71,SYN
167,2026-01-24 01:23:09.900339,84.35.209.173,19.98.12.185,30328,443,UDP,794,48,FIN
168,2026-01-24 05:29:28.900341,137.71.155.62,161.122.250.100,51707,3306,HTTP,135,119,FIN
169,2026-01-24 12:10:18.900343,74.78.216.203,26.157.255.137,14098,443,UDP,1334,88,PSH
170,2026-01-24 04:25:46.900344,106.37.229.254,125.8.18.87,53166,80,HTTPS,704,33,SYN
171,2026-01-24 06:33:23.900346,163.245.205.137,24.172.21.104,57331,9000,HTTPS,1003,127,SYN
172,2026-01-24 06:05:32.900348,139.214.18.203,40.108.234.241,5517,5432,UDP,671,93,FIN
173,2026-01-23 21:14:14.900349,102.43.55.197,183.76.119.237,59511,3306,HTTP,629,119,PSH
174,2026-01-23 20:11:41.900352,73.181.85.166,28.18.72.126,51109,443,UDP,1431,40,FIN
175,2026-01-24 14:48:34.900354,166.22.204.248,177.9.241.233,35252,22,HTTPS,117,99,FIN
176,2026-01-24 15:59:14.900355,94.220.54.3,168.23.124.180,15164,9000,HTTPS,591,112,ACK
177,2026-01-24 12:14:17.900357,35.132.113.131,176.66.7.45,52899,3306,ICMP,674,48,ACK
178,2026-01-24 12:10:17.900359,142.113.228.96,171.25.157.211,32679,8080,ICMP,256,81,PSH
179,2026-01-23 19:24:28.900360,110.237.77.89,34.233.87.214,44496,80,TCP,121,125,RST
180,2026-01-24 16:05:27.900362,16.247.53.76,161.32.54.30,50461,80,HTTPS,1198,71,ACK
181,2026-01-24 14:55:56.900364,116.43.59.213,137.112.32.206,50440,22,ICMP,192,89,RST
182,2026-01-24 07:59:44.900365,46.178.159.88,61.218.172.208,60735,443,UDP,769,106,SYN
183,2026-01-24 01:46:10.900367,126.105.247.90,183.205.166.31,7840,3306,HTTP,915,116,ACK
184,2026-01-24 02:27:53.900369,131.49.224.185,185.70.164.215,12663,9000,UDP,1413,52,ACK
185,2026-01-24 00:13:13.900370,188.231.163.18,64.23.88.86,65331,443,HTTP,71,49,PSH
186,2026-01-23 19:47:59.900372,86.22.58.6,26.61.140.37,48216,80,ICMP,92,86,RST
187,2026-01-24 01:48:30.900374,97.55.84.239,116.86.189.142,47757,443,TCP,1199,60,ACK
188,2026-01-24 02:49:22.900375,72.89.81.85,52.224.124.237,63690,80,UDP,1010,55,ACK
189,2026-01-24 07:57:25.900377,153.218.236.60,158.20.68.26,30516,443,UDP,194,105,PSH
190,2026-01-24 10:03:14.900379,113.94.95.164,171.192.80.5,51938,22,UDP,251,48,PSH
191,2026-01-23 23:14:55.900380,178.221.202.8,134.41.3.2,12264,5432,HTTP,772,49,RST
192,2026-01-24 13:45:31.900382,167.101.230.152,55.45.145.107,33722,22,ICMP,1451,73,SYN
193,2026-01-24 05:20:07.900384,119.199.2.181,187.243.64.53,27981,22,UDP,1291,115,SYN
194,2026-01-24 02:15:00.900386,64.105.142.193,46.138.230.106,60637,5432,UDP,275,76,FIN
195,2026-01-24 13:51:55.900387,190.32.52.205,71.89.19.153,33832,5432,TCP,339,113,ACK
196,2026-01-24 07:35:24.900389,147.95.187.84,56.255.45.161,6851,3306,TCP,1160,48,RST
197,2026-01-23 20:18:26.900390,60.234.58.68,87.178.214.2,33786,9000,ICMP,306,104,ACK
198,2026-01-24 00:11:06.900392,181.250.160.153,152.120.98.31,9283,9000,ICMP,1189,45,RST
199,2026-01-23 22:43:03.900394,109.200.58.90,145.48.185.221,51163,3306,HTTPS,1050,80,RST
200,2026-01-24 06:40:24.900396,100.234.88.209,148.112.237.198,64263,22,TCP,748,60,RST
201,2026-01-24 16:14:57.900397,182.152.43.173,170.106.141.14,15873,22,HTTPS,234,126,ACK
202,2026-01-24 09:52:26.900399,44.160.60.62,59.57.76.176,17256,80,HTTP,716,35,PSH
203,2026-01-24 03:30:42.900401,88.59.93.96,131.254.90.41,41596,80,HTTPS,251,113,ACK
204,2026-01-23 20:04:55.900402,187.72.198.108,181.22.27.166,25197,9000,UDP,1173,51,RST
205,2026-01-24 15:54:29.900404,162.70.196.109,103.145.107.112,55893,3306,HTTPS,115,78,FIN
206,2026-01-24 17:37:22.900406,57.249.88.143,74.171.232.12,62376,8080,ICMP,174,40,SYN
207,2026-01-24 10:27:35.900407,52.250.147.36,36.26.90.41,64119,8080,HTTP,940,108,RST
208,2026-01-24 06:55:42.900409,57.161.230.159,17.248.59.19,53374,3306,UDP,1130,110,FIN
209,2026-01-24 10:12:43.900411,23.183.4.125,70.227.166.108,6398,80,HTTPS,274,58,PSH
210,2026-01-24 12:54:22.900413,44.99.196.247,60.166.117.200,22198,9000,HTTP,1287,46,RST
211,2026-01-24 08:35:58.900414,153.253.209.176,38.166.116.26,24591,9000,HTTP,921,123,FIN
212,2026-01-24 07:21:51.900416,135.212.227.126,70.211.102.97,36316,80,UDP,690,50,RST
213,2026-01-24 05:57:22.900418,52.42.15.204,66.37.241.150,10301,8080,HTTPS,1113,121,ACK
214,2026-01-24 13:32:03.900419,66.149.16.71,134.27.223.38,32624,443,HTTP,362,83,FIN
215,2026-01-24 17:37:16.900421,67.147.86.200,65.232.91.100,52655,443,HTTP,1164,57,ACK
216,2026-01-23 23:47:36.900423,127.253.57.147,105.69.234.185,10909,80,TCP,987,120,ACK
217,2026-01-24 02:13:23.900424,39.137.187.139,59.183.138.52,60683,443,HTTP,200,57,FIN
218,2026-01-24 11:30:21.900426,20.225.111.254,95.65.16.178,55330,5432,TCP,1107,57,SYN
219,2026-01-24 13:11:57.900428,118.52.126.77,155.30.143.35,1802,3306,HTTPS,503,77,FIN
220,2026-01-24 04:03:35.900429,18.230.134.90,38.238.234.108,30189,3306,HTTPS,274,123,SYN
221,2026-01-23 22:30:43.900431,32.224.60.199,53.175.112.227,59953,80,HTTPS,815,80,RST
222,2026-01-24 09:31:28.900433,70.107.179.221,85.80.87.148,2516,22,ICMP,498,113,RST
223,2026-01-23 23:41:19.900435,191.219.84.158,151.117.44.106,31486,8080,HTTPS,843,127,FIN
224,2026-01-23 21:33:36.900437,45.105.105.207,143.250.110.152,50836,80,HTTP,1294,84,RST
225,2026-01-24 05:00:28.900460,25.179.143.153,131.236.142.4,51524,443,UDP,502,34,PSH
226,2026-01-24 15:16:42.900464,147.86.165.251,119.126.126.84,14639,8080,TCP,729,97,ACK
227,2026-01-24 03:26:45.900466,190.149.148.147,121.113.76.234,59667,22,ICMP,1129,73,ACK
228,2026-01-24 16:21:45.900468,78.48.69.247,156.2.213.251,45924,443,HTTPS,474,50,SYN
229,2026-01-24 02:01:13.900470,115.30.141.222,21.20.240.188,43970,9000,HTTPS,869,48,RST
230,2026-01-24 17:13:13.900471,177.64.67.64,139.17.217.136,8875,5432,UDP,673,64,SYN
231,2026-01-24 01:09:49.900473,47.164.126.195,110.245.50.116,17312,443,UDP,490,107,ACK
232,2026-01-24 15:04:04.900475,183.201.250.37,136.123.42.143,8180,5432,ICMP,1362,80,ACK
233,2026-01-24 06:30:16.900483,157.137.212.97,13.208.111.34,3068,8080,TCP,965,87,RST
234,2026-01-23 20:56:24.900485,125.38.47.104,101.151.122.166,8392,5432,HTTPS,1005,94,PSH
235,2026-01-24 02:16:22.900487,141.142.188.117,33.8.245.172,20924,8080,ICMP,805,34,PSH
236,2026-01-23 21:01:33.900489,134.167.1.223,88.82.235.220,31624,8080,HTTP,1456,80,RST
237,2026-01-24 03:10:41.900490,33.234.183.218,156.12.232.119,47427,8080,HTTP,1307,86,RST
238,2026-01-23 18:35:45.900492,26.203.111.248,45.207.94.203,26658,8080,ICMP,1319,57,SYN
239,2026-01-24 02:41:42.900494,119.108.253.69,104.237.0.221,10192,8080,HTTPS,391,103,RST
240,2026-01-24 07:21:42.900495,92.145.172.141,170.36.197.229,21985,443,ICMP,115,83,PSH
241,2026-01-24 13:42:33.900497,157.66.248.202,186.170.16.76,50903,8080,HTTPS,439,38,RST
242,2026-01-24 03:09:21.900499,97.24.23.26,119.138.106.202,60895,443,UDP,326,77,SYN
243,2026-01-24 17:08:36.900500,170.235.8.32,185.41.171.189,45120,8080,ICMP,330,77,SYN
244,2026-01-24 06:04:41.900502,50.225.233.1,24.186.26.29,47111,5432,HTTPS,422,47,SYN
245,2026-01-24 11:38:42.900504,119.103.67.226,108.187.238.159,24876,9000,ICMP,1404,55,SYN
246,2026-01-23 19:23:51.900505,176.154.81.224,20.187.187.45,34134,8080,ICMP,1411,92,FIN
247,2026-01-24 01:09:04.900507,80.47.184.65,175.34.104.36,33198,22,HTTPS,715,85,RST
248,2026-01-24 04:43:41.900509,31.190.84.14,95.122.58.167,35239,8080,HTTPS,109,93,ACK
249,2026-01-24 14:41:38.900511,111.156.119.110,132.107.115.83,27979,8080,TCP,663,32,RST
250,2026-01-24 02:00:09.900513,177.46.48.1,100.136.216.71,7605,5432,ICMP,783,80,FIN
251,2026-01-24 14:02:54.900514,64.244.39.34,23.32.190.89,45643,3306,HTTP,1356,56,SYN
252,2026-01-24 09:02:38.900516,161.115.227.3,125.248.62.121,7341,5432,ICMP,664,41,FIN
253,2026-01-24 02:02:25.900518,12.175.61.253,191.149.231.159,65070,22,ICMP,444,111,PSH
254,2026-01-23 20:27:45.900519,118.67.244.19,104.33.96.229,50702,3306,HTTPS,181,47,PSH
255,2026-01-24 03:19:22.900521,68.196.45.188,127.44.41.101,43880,80,ICMP,179,89,RST
256,2026-01-23 22:49:33.900523,36.52.160.95,55.147.39.28,46738,80,ICMP,323,103,RST
257,2026-01-24 15:02:21.900524,86.70.195.199,52.141.57.179,27673,22,HTTP,1162,60,ACK
258,2026-01-24 03:29:36.900526,44.73.35.136,47.254.77.224,63283,5432,HTTPS,368,123,ACK
259,2026-01-24 06:36:21.900528,154.4.84.113,62.11.150.107,24156,443,ICMP,70,37,PSH
260,2026-01-24 05:32:29.900530,99.109.77.236,184.67.242.89,17813,22,UDP,429,47,SYN
261,2026-01-24 09:50:08.900592,115.226.111.23,117.227.10.75,15591,9000,TCP,586,51,FIN
262,2026-01-24 05:46:34.900596,35.71.63.151,58.32.11.224,15892,3306,HTTP,1435,111,ACK
263,2026-01-24 11:46:52.900598,108.179.219.81,69.171.210.149,25394,3306,ICMP,1302,102,ACK
264,2026-01-24 15:07:18.900600,45.126.141.166,97.167.248.152,43557,8080,UDP,492,109,SYN
