node_id,peer_count,latency_ms,bandwidth_mbps,block_propagation_time,transactions_per_second,mempool_size,sync_status,uptime_hours,geographic_region
node_0025,25,355.62,50.0,1.08,50.99,4451,syncing,642,Oceania
node_0049,9,81.91,21.28,1.6,863.43,4353,synced,330,EU
node_0029,12,328.97,27.64,1.76,901.69,1251,syncing,459,Asia
node_0046,14,220.4,14.77,7.02,101.97,1347,synced,352,Asia
node_0047,11,396.06,15.22,1.1,24.01,1139,syncing,52,US-East
node_0008,13,357.44,59.45,9.81,596.57,893,syncing,660,Oceania
node_0014,20,23.59,15.39,1.65,295.54,3846,synced,134,Oceania
node_0049,17,383.32,61.19,4.74,787.56,2258,syncing,440,US-West
node_0015,5,453.79,25.35,9.67,220.74,2794,synced,568,Oceania
node_0027,7,16.79,82.41,9.72,180.72,1375,syncing,416,Oceania
node_0037,10,243.0,36.77,2.42,459.95,3804,synced,618,Oceania
node_0033,14,378.21,54.62,0.66,179.26,3591,synced,560,Asia
node_0042,5,281.0,31.76,2.08,989.9,2212,syncing,412,Asia
node_0001,24,369.14,59.6,3.69,943.62,1943,synced,570,Asia
node_0019,21,29.24,36.57,9.05,322.94,4709,synced,503,Oceania
node_0041,7,495.41,86.51,4.07,658.32,2781,synced,626,US-East
node_0003,9,184.47,29.42,4.54,390.39,1864,synced,61,EU
node_0027,23,400.55,29.18,3.31,100.33,3715,syncing,284,EU
node_0012,7,331.31,87.77,4.41,55.8,3193,synced,488,US-East
node_0027,24,397.19,62.76,4.19,740.87,529,syncing,127,US-West
node_0026,8,131.14,34.6,9.85,288.21,932,synced,418,US-East
node_0028,17,50.82,54.63,3.0,812.68,3923,syncing,663,EU
node_0012,18,216.47,35.87,0.88,807.67,3138,synced,616,EU
node_0012,8,245.9,98.48,2.8,934.83,4154,synced,605,Oceania
node_0017,8,114.4,37.39,8.25,691.85,3559,synced,280,US-West
node_0021,25,268.57,48.55,5.64,400.2,2424,syncing,295,Asia
node_0016,23,483.73,64.21,1.34,688.33,29,synced,107,US-West
node_0034,9,51.43,63.09,4.41,383.96,540,syncing,216,Oceania
node_0048,23,209.7,59.13,4.57,364.88,1166,syncing,156,EU
node_0041,5,442.79,45.42,1.8,21.7,1780,syncing,368,US-East
node_0022,19,235.77,17.92,5.29,451.33,2384,syncing,463,Oceania
node_0042,8,496.8,8.43,9.94,426.97,4055,syncing,637,Oceania
node_0036,23,440.56,78.78,7.3,992.21,4620,synced,463,EU
node_0033,9,318.49,8.56,6.45,404.41,3052,synced,60,Oceania
node_0027,12,108.52,4.56,6.79,384.74,761,syncing,269,US-East
node_0045,4,432.77,16.6,8.17,569.57,676,synced,478,Oceania
node_0049,3,378.79,7.03,7.82,885.6,1480,syncing,452,EU
node_0035,3,50.99,75.78,7.35,385.34,2912,synced,532,EU
node_0011,8,160.25,99.44,2.81,323.92,1891,syncing,286,Asia
node_0012,2,477.62,14.01,8.19,359.7,2592,synced,148,Asia
node_0004,23,153.84,50.85,4.26,936.14,2534,synced,613,US-East
node_0030,3,328.07,6.17,2.9,373.04,2434,synced,5,Asia
node_0021,4,400.71,82.56,2.39,629.36,1817,synced,374,EU
node_0016,14,39.16,52.76,4.34,774.81,4977,syncing,74,EU
node_0021,8,115.96,91.53,6.34,912.14,3531,syncing,551,US-West
node_0028,24,363.42,1.76,8.58,769.16,3092,synced,364,US-East
node_0029,17,135.91,64.81,2.55,617.66,3628,syncing,496,Oceania
node_0003,15,85.84,33.97,8.86,72.11,681,synced,499,US-East
node_0005,24,309.78,94.08,4.3,934.28,4022,synced,339,EU
node_0009,20,340.81,67.54,5.85,365.47,782,synced,312,Asia
node_0007,11,347.1,63.04,7.31,340.19,1193,syncing,89,EU
node_0007,1,300.33,71.54,6.66,942.41,3490,synced,326,US-East
node_0024,20,285.1,27.15,8.63,539.66,1955,synced,113,EU
node_0038,8,457.55,15.27,9.19,572.65,21,syncing,257,Oceania
node_0022,10,268.76,97.81,2.95,336.43,4443,synced,600,US-West
node_0048,22,174.91,56.71,9.1,916.04,4383,syncing,656,US-East
node_0004,6,50.9,69.21,8.93,726.18,1602,synced,120,Asia
node_0022,22,266.78,96.67,4.61,442.74,278,syncing,328,US-West
node_0032,12,361.11,57.86,1.69,45.26,2166,synced,563,US-East
node_0025,13,164.19,94.82,0.71,542.74,164,synced,581,EU
node_0032,22,471.74,51.52,8.37,603.15,3868,synced,225,US-West
node_0020,12,119.23,83.48,0.8,182.43,3831,syncing,424,US-West
node_0002,11,144.02,17.2,3.8,631.91,1159,synced,481,Oceania
node_0024,9,474.96,93.97,1.09,964.18,3459,synced,487,EU
node_0026,18,374.77,75.24,6.11,757.55,4980,syncing,542,EU
node_0036,8,191.13,50.96,5.47,398.45,188,synced,689,Oceania
node_0024,6,364.34,40.11,3.7,386.04,2423,syncing,515,Asia
node_0043,4,156.71,42.93,8.28,697.93,1558,syncing,28,Asia
node_0026,3,324.46,7.32,7.15,469.75,4988,synced,168,Asia
node_0026,21,77.34,11.62,5.78,942.88,60,synced,714,US-East
node_0013,10,72.64,24.45,0.94,788.75,4529,synced,425,US-West
node_0035,11,149.06,29.78,5.45,940.69,511,synced,360,Asia
node_0040,19,147.65,14.87,4.85,843.18,1895,synced,676,EU
node_0041,5,390.06,81.44,8.63,406.0,2445,syncing,402,Oceania
node_0049,10,235.74,40.83,6.68,203.59,1591,synced,358,EU
node_0029,23,119.32,47.48,4.64,953.15,4914,synced,313,Oceania
node_0037,12,18.94,50.92,1.55,318.73,3492,synced,324,US-West
node_0013,6,247.34,58.23,7.22,516.79,3477,synced,145,EU
node_0005,18,64.47,51.34,2.34,31.57,3713,synced,103,US-West
node_0030,15,200.32,2.04,5.03,895.07,4098,synced,615,Oceania
node_0012,21,312.84,3.84,7.56,438.89,3505,synced,521,US-East
node_0046,17,372.71,35.09,0.94,408.23,1402,synced,113,EU
node_0032,1,85.91,12.18,1.07,739.72,3171,synced,376,US-West
node_0031,22,336.81,98.81,7.1,572.49,609,synced,332,US-East
node_0004,7,109.02,83.26,2.79,355.93,3042,synced,311,Oceania
node_0041,11,87.2,67.75,2.71,741.58,2548,syncing,317,EU
node_0040,9,495.76,72.68,3.32,345.06,1757,synced,560,EU
node_0023,1,477.6,80.07,1.17,11.82,3169,synced,32,EU
node_0010,19,149.09,33.96,8.36,172.66,874,synced,199,US-West
node_0017,23,475.35,52.63,7.48,365.57,2704,synced,568,EU
node_0000,6,60.05,81.2,3.64,294.21,1153,synced,126,US-East
node_0001,19,76.7,13.34,5.37,338.16,183,synced,214,US-East
node_0041,24,357.95,58.98,1.51,465.08,2212,synced,305,US-East
node_0009,13,202.25,2.44,6.83,112.35,305,synced,360,Asia
node_0016,18,398.5,73.52,5.54,76.67,640,synced,169,US-West
node_0022,25,172.22,49.89,1.69,938.7,3297,synced,322,Oceania
node_0022,14,199.6,1.69,4.91,622.39,1744,synced,153,US-East
node_0029,17,208.48,10.93,0.87,590.66,3883,synced,141,Oceania
node_0044,4,416.95,41.87,8.65,918.3,3267,synced,677,US-West
node_0033,21,382.55,71.08,7.0,763.14,115,syncing,355,US-East
node_0043,5,424.43,94.18,8.66,351.96,2617,synced,657,Oceania
node_0027,5,458.7,73.87,5.89,831.88,4564,syncing,684,US-West
node_0049,22,190.49,17.68,6.7,978.25,2585,synced,613,US-East
node_0001,11,284.31,39.68,5.29,720.9,2801,synced,543,US-East
node_0030,9,237.0,30.01,2.28,290.06,1812,synced,451,Oceania
node_0008,24,335.54,18.2,6.82,68.65,1411,synced,120,Oceania
node_0033,3,329.47,1.29,8.43,533.79,4606,synced,189,US-East
node_0009,5,224.79,14.62,5.24,571.48,650,synced,366,EU
node_0008,20,339.46,47.41,3.55,71.49,3103,synced,614,EU
node_0024,1,170.59,4.63,6.55,974.23,924,synced,465,Asia
node_0048,5,199.08,90.08,6.41,616.52,1082,synced,85,US-East
node_0043,6,363.24,59.67,6.91,261.26,301,synced,393,Asia
node_0009,17,440.83,1.8,2.13,809.64,3960,synced,369,US-East
node_0049,19,457.68,3.8,5.03,272.0,4408,syncing,196,Asia
node_0025,2,252.82,53.37,8.42,622.32,1922,syncing,518,US-East
node_0001,23,374.23,98.63,5.04,523.35,2276,synced,613,Asia
node_0026,7,64.46,97.68,8.44,896.6,3677,synced,560,US-East
node_0002,10,422.32,22.8,5.25,768.03,4990,synced,126,EU
node_0002,11,438.99,6.65,4.01,257.83,3375,syncing,163,US-West
node_0036,16,485.89,94.42,9.58,168.56,3836,synced,418,Oceania
node_0021,13,188.76,83.82,2.5,208.62,3315,synced,49,US-West
node_0005,15,496.96,2.1,8.78,819.5,4459,synced,335,Oceania
node_0040,10,109.14,2.25,6.39,124.72,4978,syncing,404,US-East
node_0023,23,396.46,7.55,5.9,602.13,1307,synced,579,EU
node_0035,9,267.07,41.65,5.57,771.47,4622,syncing,217,US-West
node_0032,6,318.46,84.71,5.49,770.1,1310,synced,696,EU
node_0009,21,199.65,17.47,5.56,905.7,2200,synced,473,Asia
node_0006,25,209.64,94.04,6.9,774.97,4444,synced,264,US-East
node_0048,3,370.39,93.4,1.46,239.97,4682,synced,638,EU
node_0018,20,287.17,85.34,8.78,140.72,4562,synced,249,US-West
node_0013,23,273.14,98.12,1.01,157.23,2863,synced,296,EU
node_0005,10,277.01,75.04,3.46,796.45,1562,syncing,607,Oceania
node_0007,21,400.0,8.46,1.55,688.84,2784,synced,649,Oceania
node_0040,17,353.31,40.15,8.81,583.2,9,syncing,249,US-East
node_0031,12,396.43,24.59,6.72,519.33,1766,synced,222,Oceania
node_0005,15,473.81,18.04,5.31,773.6,4913,synced,480,Asia
node_0038,20,22.64,20.17,6.43,455.31,270,synced,301,EU
node_0049,15,21.67,66.51,9.63,645.96,1870,syncing,185,Asia
node_0042,21,440.05,64.51,6.05,445.51,2852,synced,247,Oceania
node_0046,14,99.1,25.02,5.78,48.58,2384,synced,485,US-West
node_0005,10,13.59,87.01,8.98,806.39,829,synced,5,Oceania
node_0041,8,495.14,14.74,2.61,366.13,3131,syncing,615,Asia
node_0005,13,85.6,1.32,9.62,554.04,168,synced,440,EU
node_0035,16,36.77,11.85,1.98,775.44,460,synced,480,Asia
node_0029,23,305.32,51.54,4.23,252.84,367,synced,205,US-East
node_0021,19,391.05,87.97,9.51,978.98,1824,synced,426,EU
node_0003,25,386.26,15.85,3.5,528.57,1955,synced,35,US-West
node_0039,8,371.08,18.97,7.39,481.5,4279,synced,241,US-East
node_0009,9,452.14,52.58,1.78,152.01,2905,synced,533,EU
node_0009,2,463.52,34.3,9.86,821.39,2443,syncing,80,EU
node_0045,10,109.52,63.76,2.98,16.54,2213,synced,346,US-West
node_0045,1,224.69,67.23,6.22,424.95,3789,syncing,634,Oceania
node_0000,2,76.34,99.01,6.07,191.41,1073,synced,469,EU
node_0044,17,149.55,57.1,8.89,908.02,3843,syncing,397,US-East
node_0010,14,327.23,55.0,3.36,351.56,343,syncing,228,Asia
node_0015,3,235.39,2.5,4.75,771.1,1991,synced,39,EU
node_0049,12,384.72,22.2,2.55,637.39,4771,synced,48,EU
node_0015,12,103.75,31.57,2.73,423.11,3889,synced,200,US-East
node_0020,5,492.57,60.76,4.07,185.55,1563,syncing,374,US-West
node_0011,21,202.33,22.35,2.56,52.23,2742,synced,292,US-East
node_0013,9,128.88,38.76,0.6,342.44,995,synced,608,Oceania
node_0042,3,498.16,51.16,0.84,671.38,2603,syncing,462,US-West
node_0002,19,375.92,57.05,3.14,76.89,970,syncing,533,EU
node_0034,7,181.74,33.22,1.24,305.88,1764,synced,290,US-West
node_0034,17,207.03,42.99,7.08,810.82,791,syncing,188,EU
node_0017,5,130.01,79.86,0.79,690.2,1156,syncing,46,US-East
node_0019,12,430.98,31.19,3.74,527.74,3522,syncing,377,Asia
node_0048,25,420.45,25.94,8.69,42.74,10,synced,22,Oceania
node_0041,11,60.76,8.88,6.05,112.83,1649,syncing,174,Oceania
node_0018,21,157.66,20.86,1.78,691.44,3086,synced,87,US-East
node_0033,23,223.23,42.87,0.55,135.11,3856,synced,540,Asia
node_0047,5,498.55,95.94,5.19,227.55,1576,synced,51,US-East
node_0010,19,337.13,69.74,3.24,353.62,4514,synced,666,US-East
node_0049,11,264.89,63.4,4.56,839.06,2481,synced,271,Asia
node_0016,15,281.9,32.05,1.13,450.46,1526,synced,170,US-West
node_0000,7,368.44,37.81,3.5,92.56,1661,synced,508,EU
node_0019,4,393.9,83.03,6.98,503.57,4858,synced,508,US-West
node_0019,6,486.14,14.44,8.01,271.62,4465,synced,156,EU
node_0032,14,33.7,3.33,5.63,785.34,1434,synced,550,US-East
node_0012,10,257.78,23.19,5.09,268.33,4726,synced,179,Asia
node_0004,3,306.07,98.59,3.36,384.59,1526,syncing,392,US-West
node_0042,5,443.1,50.74,5.23,678.95,2722,synced,499,US-East
node_0013,24,266.18,35.47,1.98,864.18,4977,synced,462,Asia
node_0013,5,491.73,30.31,2.52,948.92,1747,syncing,13,EU
node_0000,18,48.44,11.68,2.78,983.3,351,synced,647,EU
node_0006,25,410.14,40.98,6.61,467.62,4584,synced,669,US-West
node_0045,1,66.01,31.8,4.44,443.29,3452,syncing,475,Oceania
node_0023,10,102.47,17.1,6.15,197.54,777,synced,12,US-East
node_0026,21,303.41,88.18,7.68,457.26,398,synced,100,EU
node_0038,4,380.3,88.14,8.05,998.47,3001,synced,48,US-East
node_0015,7,287.97,26.7,8.03,24.33,1799,synced,686,US-West
node_0016,20,111.81,28.54,2.84,115.38,2901,synced,212,Oceania
node_0004,2,272.69,66.4,1.65,864.16,3903,synced,584,US-West
node_0001,15,192.31,2.85,1.91,131.56,2005,syncing,250,US-East
node_0011,2,400.17,32.33,2.23,153.72,1554,synced,703,US-East
node_0014,12,38.59,53.9,2.96,372.69,4543,synced,656,US-East
node_0024,15,172.22,66.91,9.13,131.78,901,syncing,607,Asia
node_0009,14,167.37,43.7,3.17,443.58,39,synced,307,Oceania
node_0041,19,68.82,19.45,9.18,378.39,4972,syncing,257,Asia
node_0046,12,112.05,18.06,3.47,393.06,4109,syncing,46,Oceania
node_0023,19,468.02,58.09,9.22,704.51,2367,synced,285,US-East
node_0007,5,469.84,56.61,2.34,219.22,1851,synced,266,US-West
node_0046,3,253.75,72.39,3.35,981.94,2996,syncing,24,US-East
node_0040,7,215.41,57.71,3.78,852.2,1748,synced,371,EU
node_0026,15,68.72,96.05,8.52,435.25,4071,syncing,294,US-East
node_0005,2,357.55,13.26,1.49,915.47,4251,synced,18,Oceania
node_0021,20,497.1,23.79,0.84,697.94,1775,syncing,622,EU
node_0024,1,117.15,86.67,5.06,553.73,1251,synced,269,Asia
node_0012,22,370.25,5.39,0.84,145.72,2724,synced,593,EU
node_0040,15,402.11,64.22,2.29,784.91,170,syncing,75,US-East
node_0026,7,51.48,22.07,6.46,102.45,1299,synced,713,Asia
node_0006,2,313.08,37.27,0.82,620.98,4120,synced,42,US-West
node_0041,23,247.41,63.18,1.08,654.68,1744,synced,80,Asia
node_0042,7,31.36,26.97,8.68,385.17,721,syncing,199,US-West
node_0044,21,408.97,63.25,0.98,214.83,9,synced,53,US-East
node_0007,22,251.1,86.41,0.59,430.44,1016,synced,72,US-East
node_0028,24,224.8,52.01,6.21,944.56,1856,synced,461,Asia
node_0021,17,279.33,60.09,3.55,87.98,3993,synced,287,Oceania
node_0025,2,55.94,42.75,7.42,595.01,1340,synced,296,US-East
node_0020,18,387.12,87.87,9.83,174.66,2827,syncing,606,US-East
node_0029,21,118.47,7.03,1.63,867.35,2488,synced,379,Asia
node_0029,8,123.86,73.25,2.68,191.01,3761,synced,248,US-West
node_0035,12,401.65,5.6,3.38,67.35,4493,synced,647,US-West
node_0039,16,328.72,60.2,8.94,618.73,2399,synced,576,Asia
node_0043,3,45.36,38.67,7.12,361.22,3941,synced,535,US-West
node_0011,10,310.97,82.59,5.38,684.87,4212,syncing,382,Asia
node_0027,15,356.33,6.13,8.91,378.54,4292,syncing,573,US-East
node_0003,15,219.47,12.18,5.05,888.98,1046,synced,294,Asia
node_0000,11,198.55,69.05,0.5,587.38,3438,synced,41,EU
node_0048,15,37.62,5.55,8.88,695.23,1524,synced,38,Asia
node_0012,20,95.48,8.84,2.1,334.62,3207,synced,249,Asia
node_0031,17,343.68,2.3,2.15,585.34,1084,syncing,93,US-East
node_0005,5,487.91,64.18,9.12,858.45,3472,synced,86,Asia
node_0033,24,163.96,8.38,0.74,319.29,2560,synced,222,Oceania
node_0015,19,286.67,49.99,6.11,782.5,4579,syncing,541,US-East
node_0029,14,426.71,96.75,5.83,712.26,3068,syncing,394,US-West
node_0005,17,307.12,13.55,7.9,115.33,1468,syncing,629,Asia
node_0045,18,391.21,16.15,6.67,32.25,4718,syncing,525,US-West
node_0033,10,218.6,89.3,3.94,746.94,2330,synced,699,US-West
node_0024,23,195.39,84.94,9.24,103.47,3573,synced,178,US-West
node_0037,24,296.46,19.34,8.77,728.12,3668,synced,254,Oceania
node_0017,11,40.69,54.31,7.83,589.06,313,synced,682,US-East
node_0017,24,357.9,90.07,6.47,208.17,3659,synced,287,US-West
node_0034,4,431.42,38.0,3.8,25.19,4238,synced,293,US-East
node_0024,23,188.55,13.84,1.93,492.71,1966,synced,215,Asia
node_0043,8,190.76,90.14,8.06,533.58,2207,syncing,386,US-West
node_0011,17,196.41,28.3,8.71,303.49,3170,synced,310,Asia
node_0034,17,386.82,12.27,2.12,622.34,1845,synced,297,US-West
node_0006,20,54.65,64.71,2.66,446.67,1745,synced,530,US-East
node_0038,18,171.47,34.47,7.43,665.5,2983,synced,581,US-West
node_0035,12,264.23,36.58,5.89,554.56,4328,synced,643,US-East
node_0031,11,491.16,25.2,2.09,658.99,3509,syncing,161,EU
node_0043,11,296.63,13.19,0.88,544.62,2917,synced,325,US-West
node_0026,12,291.98,61.35,9.37,808.62,1995,synced,587,Asia
node_0035,23,18.38,6.78,9.13,168.01,266,synced,376,US-West
node_0001,24,419.05,64.64,0.83,749.1,268,synced,548,US-East
node_0028,20,376.21,23.82,7.78,13.17,337,synced,207,EU
node_0015,12,280.54,37.24,4.67,123.05,11,synced,122,US-East
node_0046,15,52.86,65.24,5.23,606.06,955,syncing,443,US-West
node_0033,23,483.67,85.8,3.76,547.47,676,synced,350,US-West
node_0034,2,344.57,49.68,6.47,359.61,3053,synced,303,US-West
node_0047,3,435.4,46.75,3.47,365.05,1954,syncing,278,US-West
node_0044,9,284.31,27.69,1.15,358.3,2767,synced,644,Oceania
node_0009,17,61.27,85.71,7.24,324.09,2421,synced,586,Asia
node_0038,10,89.62,88.94,8.43,540.25,383,syncing,47,Asia
node_0046,18,183.84,64.66,9.02,607.56,2488,synced,339,US-East
node_0032,9,433.39,70.54,8.6,20.48,2676,synced,169,US-East
node_0005,8,458.6,42.14,7.38,233.11,1578,synced,284,Asia
node_0046,3,487.81,72.05,4.15,713.66,1041,synced,423,Asia
node_0010,7,59.99,42.9,3.77,668.3,820,synced,676,US-West
node_0047,16,216.1,6.09,8.14,604.16,2460,synced,570,US-West
node_0002,9,391.08,54.27,7.65,626.2,4944,synced,113,Asia
node_0020,9,317.0,58.51,1.55,898.83,2948,synced,308,US-East
node_0045,15,446.39,71.48,2.75,754.27,4418,synced,380,Oceania
node_0005,3,290.43,62.36,2.06,443.7,3019,synced,499,US-West
node_0034,18,483.26,57.32,1.35,422.48,4797,synced,44,Oceania
node_0018,6,209.59,28.62,1.58,417.4,2175,synced,234,US-West
node_0035,24,387.66,79.37,9.84,244.8,1035,syncing,491,EU
node_0022,7,361.26,12.2,3.01,270.24,874,synced,572,Oceania
node_0003,18,256.58,47.98,3.44,352.94,1279,synced,594,Oceania
node_0003,22,330.16,4.64,4.38,943.6,4781,syncing,420,EU
node_0030,15,342.07,30.28,4.3,188.36,4834,syncing,142,US-West
node_0039,24,242.68,27.78,3.98,977.33,1942,synced,626,US-East
node_0015,13,404.45,88.52,6.96,535.69,2218,syncing,584,EU
node_0023,3,232.13,81.9,5.56,949.8,4042,syncing,708,EU
node_0046,2,21.5,66.78,5.4,338.84,2703,synced,157,Oceania
node_0028,21,37.02,6.42,7.27,625.09,1703,synced,247,US-East
node_0039,12,463.97,42.43,7.29,341.2,4369,syncing,210,Asia
node_0011,1,453.34,30.37,7.83,940.06,4975,syncing,257,US-East
node_0010,13,144.33,87.29,2.53,959.88,493,synced,266,Oceania
node_0035,20,68.86,79.7,2.84,609.53,1011,syncing,602,US-West
node_0032,25,363.75,54.72,2.96,558.96,346,synced,657,Oceania
node_0049,14,334.25,65.04,6.05,648.92,1105,syncing,282,Oceania
node_0046,20,240.85,92.21,9.82,588.58,1584,synced,249,Oceania
node_0044,25,150.41,67.08,9.45,590.67,4288,synced,384,EU
node_0041,22,242.05,43.83,9.19,156.29,4248,synced,123,EU
node_0026,9,474.31,7.95,1.86,468.85,4316,synced,213,US-West
node_0003,4,299.32,42.12,5.15,304.8,4837,synced,381,EU
node_0005,8,440.89,20.69,5.54,153.97,2583,syncing,163,US-East
node_0030,18,81.37,4.54,8.87,407.83,1695,synced,74,EU
node_0018,21,422.59,67.3,8.97,595.85,721,synced,518,EU
node_0036,4,244.65,71.15,4.94,755.81,2703,synced,180,EU
node_0035,13,17.48,49.56,0.68,964.39,646,synced,121,Oceania
node_0041,17,438.51,59.11,3.87,638.42,880,syncing,592,Oceania
node_0016,15,182.34,27.29,7.72,574.13,750,syncing,413,EU
node_0023,18,88.46,6.99,8.7,45.77,2344,syncing,290,US-East
node_0048,4,434.39,95.2,3.25,984.02,1385,synced,162,Asia
node_0008,2,308.33,98.0,3.09,52.01,4736,syncing,509,Asia
node_0047,6,307.98,69.74,6.75,477.97,2608,syncing,309,US-West
node_0042,18,171.34,87.1,7.76,483.63,1567,synced,56,US-East
node_0044,25,247.51,52.57,9.37,822.96,2881,synced,58,Oceania
node_0012,9,407.65,55.42,5.9,122.56,4959,synced,416,Oceania
node_0007,7,42.18,89.66,3.82,313.76,2675,synced,332,Oceania
node_0014,8,416.62,2.77,8.0,146.59,2699,synced,195,EU
node_0004,18,491.38,94.98,1.28,704.63,2068,synced,270,US-West
node_0014,21,341.2,22.63,7.74,315.89,1068,synced,715,Oceania
node_0010,2,297.9,25.9,6.54,705.83,2466,synced,373,Oceania
node_0040,10,139.15,76.06,1.8,740.1,2241,synced,564,EU
node_0038,6,172.92,36.34,8.62,938.41,943,synced,465,EU
node_0006,7,452.22,67.74,7.43,149.9,110,syncing,669,US-East
node_0003,12,84.35,33.89,8.37,527.51,3223,synced,498,US-East
node_0019,4,414.13,7.73,2.91,750.58,1384,syncing,418,Oceania
