user_id,session_id,login_time,pages_visited,session_duration_minutes,clicks,purchases,cart_value,device_type,browser,location
USER000028,84e677eaea00,2025-12-28 11:54:09.919464,34,14.16,24,0,58.74,Desktop,Chrome,IN
USER000029,39de2a9cdf5d,2026-01-18 10:54:09.919468,42,77.94,12,2,89.62,Mobile,Firefox,FR
USER000030,217494ded76f,2026-01-12 21:54:09.919470,19,20.98,15,3,150.95,Mobile,Chrome,UK
USER000031,ec3b26ce5815,2026-01-19 01:54:09.919472,9,32.55,27,0,76.47,Tablet,Firefox,CA
USER000032,e2de27e6438a,2026-01-13 05:54:09.919474,48,73.12,20,1,46.91,Mobile,Chrome,US
USER000033,c5f467c30bd5,2026-01-22 13:54:09.919476,18,62.1,23,3,28.18,Mobile,Chrome,JP
USER000034,501f4d29bad3,2025-12-28 08:54:09.919478,41,20.9,22,2,61.27,Desktop,Chrome,JP
USER000035,4bdda0e5832f,2026-01-14 03:54:09.919480,48,17.27,21,1,88.17,Desktop,Safari,UK
USER000036,c2c7d0d349fd,2026-01-15 18:54:09.919482,45,12.45,22,2,9.22,Desktop,Chrome,IN
USER000037,9890d3aa8905,2026-01-01 22:54:09.919483,42,38.08,26,2,105.24,Mobile,Chrome,IN
USER000038,c8d80cc8ec81,2026-01-19 19:54:09.919485,25,10.15,12,1,81.43,Desktop,Firefox,CA
USER000039,73ff4ff1bcf8,2026-01-24 16:54:09.919487,14,8.63,22,3,76.76,Mobile,Chrome,US
USER000040,4098137ecd46,2025-12-28 01:54:09.919489,44,13.21,17,1,46.14,Mobile,Chrome,FR
USER000041,12ecfd8bfe39,2026-01-09 22:54:09.919490,25,5.85,21,1,106.82,Desktop,Edge,UK
USER000042,2f65c2713758,2025-12-28 18:54:09.919493,19,35.64,17,5,68.3,Tablet,Safari,UK
USER000043,c30ccf5f237f,2025-12-29 22:54:09.919496,39,28.73,17,3,99.15,Mobile,Edge,US
USER000044,c73536a557cf,2026-01-09 00:54:09.919499,15,19.78,12,1,53.76,Desktop,Firefox,UK
USER000045,11fd54064027,2026-01-10 21:54:09.919502,16,14.84,20,0,105.56,Desktop,Safari,JP
USER000046,8a70e963442d,2026-01-21 04:54:09.919505,27,71.93,21,2,85.44,Mobile,Safari,FR
USER000047,97291c7d5366,2026-01-01 07:54:09.919509,40,0.89,14,2,317.5,Desktop,Edge,FR
USER000048,9c58f9ce454c,2026-01-13 11:54:09.919512,10,43.97,17,2,177.49,Desktop,Safari,FR
USER000049,f11cfd9ff385,2026-01-19 01:54:09.919514,4,69.66,25,3,103.89,Mobile,Edge,US
USER000050,27e6e5a9399b,2026-01-07 07:54:09.919517,19,17.74,24,3,237.2,Tablet,Chrome,AU
USER000051,fb2308486581,2025-12-29 15:54:09.919520,28,24.0,22,1,52.02,Desktop,Edge,AU
USER000052,a34a54377547,2026-01-12 04:54:09.919523,21,86.72,19,0,109.41,Tablet,Safari,IN
USER000053,1dea9142ceeb,2026-01-10 21:54:09.919526,47,7.16,17,1,58.21,Mobile,Safari,IN
USER000054,5aabf697666e,2026-01-22 07:54:09.919529,14,22.03,20,2,200.24,Desktop,Firefox,JP
USER000055,595ef85321bc,2025-12-29 01:54:09.919532,33,19.31,15,2,46.42,Mobile,Firefox,UK
USER000056,17b8b41e5c89,2026-01-24 07:54:09.919535,48,8.97,14,2,163.71,Desktop,Firefox,FR
USER000057,b98e92af6a50,2026-01-09 13:54:09.919538,10,51.21,26,1,50.98,Desktop,Firefox,UK
USER000058,bedf3ae89922,2026-01-15 09:54:09.919541,19,68.96,16,1,14.49,Mobile,Safari,US
USER000059,94e010f75337,2026-01-12 19:54:09.919544,30,45.69,17,1,114.97,Mobile,Firefox,UK
USER000060,1b1d3bd07253,2026-01-17 05:54:09.919548,22,6.52,17,1,142.8,Desktop,Edge,DE
USER000061,54390b566c4a,2026-01-13 19:54:09.919551,3,2.72,19,0,139.84,Tablet,Chrome,AU
USER000062,cf6f66962613,2026-01-24 01:54:09.919554,37,27.9,19,1,20.87,Mobile,Safari,UK
USER000063,71b57e99b211,2026-01-01 19:54:09.919557,41,1.76,24,1,105.03,Tablet,Firefox,UK
USER000064,42f6d279a73f,2025-12-27 16:54:09.919559,18,33.52,13,2,121.07,Desktop,Safari,CA
USER000065,f73791b8fe00,2025-12-30 20:54:09.919562,11,22.68,21,0,29.18,Tablet,Firefox,JP
USER000066,14f9a0cd4626,2026-01-20 05:54:09.919565,48,32.61,18,2,133.71,Desktop,Safari,UK
USER000067,84d2dd81182d,2025-12-26 09:54:09.919572,2,26.76,12,2,128.3,Desktop,Firefox,DE
USER000068,79f861689a1a,2026-01-08 10:54:09.919575,12,16.48,17,2,216.7,Mobile,Chrome,AU
USER000069,7975036cb4d7,2025-12-27 20:54:09.919578,6,6.73,18,2,6.9,Mobile,Firefox,CA
USER000070,a7bfb794e0dd,2026-01-13 18:54:09.919580,43,10.95,23,1,19.54,Mobile,Edge,JP
USER000071,857376a61e1b,2025-12-29 00:54:09.919583,40,22.3,24,1,47.1,Desktop,Safari,US
USER000072,6b9918c7116b,2025-12-28 16:54:09.919586,44,31.66,21,3,206.1,Desktop,Safari,IN
USER000073,b9afd2bf1e06,2025-12-29 23:54:09.919590,29,45.35,25,2,172.08,Mobile,Edge,US
USER000074,c1d9282b6e68,2026-01-01 05:54:09.919593,30,43.72,20,4,143.56,Desktop,Edge,AU
USER000075,f8d4fb45c735,2026-01-15 22:54:09.919596,2,108.01,15,2,139.95,Mobile,Chrome,IN
USER000076,1ee9dde3de5f,2026-01-05 21:54:09.919599,9,10.1,19,1,217.47,Desktop,Safari,US
USER000077,cb228fca0f85,2026-01-15 08:54:09.919602,47,2.21,28,0,37.17,Tablet,Chrome,JP
USER000078,6e7bb3031d66,2026-01-10 21:54:09.919606,2,12.72,19,2,157.07,Mobile,Safari,DE
USER000079,6777e90ab4b9,2026-01-13 06:54:09.919609,29,40.79,28,1,298.56,Mobile,Safari,UK
USER000080,2232894ad2a7,2026-01-16 01:54:09.919612,33,17.29,18,1,162.45,Tablet,Chrome,AU
USER000081,14eb59783a84,2025-12-30 22:54:09.919615,10,51.08,19,2,53.24,Mobile,Safari,IN
USER000082,629bc199c719,2025-12-28 21:54:09.919618,34,23.91,23,1,191.63,Desktop,Safari,CA
USER000083,35f1dc052b3d,2026-01-07 21:54:09.919621,44,79.69,10,1,149.38,Desktop,Chrome,UK
USER000084,2f965aced432,2026-01-18 02:54:09.919625,8,88.62,19,3,115.73,Mobile,Firefox,US
USER000085,2a2b26befd14,2026-01-05 17:54:09.919628,37,2.15,14,3,29.37,Desktop,Chrome,US
USER000086,83ac6e0455f2,2026-01-14 20:54:09.919631,33,18.29,14,1,63.89,Mobile,Safari,CA
USER000087,c519d3b03993,2026-01-06 05:54:09.919634,47,28.22,12,2,78.54,Desktop,Edge,DE
USER000088,2622b4baacab,2026-01-09 00:54:09.919637,6,8.87,19,3,144.11,Desktop,Firefox,JP
USER000089,0a41ec0051bf,2026-01-18 10:54:09.919640,44,15.68,10,1,93.24,Mobile,Edge,JP
USER000090,6b5cded90da1,2026-01-04 07:54:09.919643,40,33.97,26,0,69.7,Tablet,Firefox,CA
USER000091,b33a62f880ff,2026-01-20 18:54:09.919646,45,7.71,21,0,167.91,Mobile,Edge,AU
USER000092,762d6a947984,2026-01-03 14:54:09.919649,19,27.64,21,1,28.98,Tablet,Firefox,CA
USER000093,f896bc35ad41,2026-01-17 00:54:09.919652,32,35.87,22,1,36.17,Tablet,Chrome,US
USER000094,1d293a22f80b,2026-01-05 03:54:09.919655,27,2.85,22,4,88.54,Desktop,Firefox,DE
USER000095,37006cc11e39,2026-01-16 20:54:09.919658,1,20.65,18,2,55.13,Desktop,Firefox,DE
USER000096,21201dad98cf,2026-01-17 05:54:09.919661,43,9.16,12,2,183.24,Mobile,Firefox,FR
USER000097,450f5a1a0d0c,2026-01-16 16:54:09.919664,33,38.66,23,3,35.55,Mobile,Safari,CA
USER000098,116d2e81df00,2025-12-31 10:54:09.919667,40,6.31,19,3,40.91,Mobile,Edge,AU
USER000099,ebb97ee450d2,2026-01-03 19:54:09.919670,32,66.83,19,1,4.43,Tablet,Chrome,US
USER000100,d345914dd743,2026-01-17 01:54:09.919673,5,16.91,17,0,116.64,Desktop,Edge,UK
USER000101,a3fa7eaee67e,2025-12-28 02:54:09.919676,17,6.62,21,2,70.46,Desktop,Edge,JP
USER000102,10df2b7f572c,2026-01-12 17:54:09.919678,8,17.29,17,1,31.1,Mobile,Chrome,JP
USER000103,79349c6f0683,2026-01-23 20:54:09.919681,42,15.77,16,1,75.17,Desktop,Safari,JP
USER000104,0f590ece1026,2026-01-11 12:54:09.919684,34,16.81,19,2,306.73,Desktop,Firefox,DE
USER000105,56790036c9ec,2026-01-17 19:54:09.919688,9,26.42,22,3,46.8,Desktop,Safari,JP
USER000106,5723d7222c69,2026-01-17 04:54:09.919691,23,22.09,13,1,63.5,Desktop,Safari,CA
USER000107,54baa2eacbc9,2026-01-07 22:54:09.919694,35,4.87,21,2,36.28,Mobile,Firefox,FR
USER000108,af02b4108e57,2025-12-26 10:54:09.919697,7,2.03,11,1,22.56,Mobile,Edge,AU
USER000109,2338fa68fb98,2025-12-29 19:54:09.919700,15,39.22,28,2,134.35,Mobile,Firefox,AU
USER000110,e8ed6f51e1d9,2026-01-16 17:54:09.919703,20,24.61,31,0,15.02,Mobile,Chrome,IN
USER000111,44699bfab1ef,2026-01-21 18:54:09.919705,25,13.34,20,3,153.44,Desktop,Firefox,JP
USER000112,8174c5fdddbc,2026-01-18 15:54:09.919707,3,49.56,18,0,155.17,Mobile,Edge,US
USER000113,79f4884be214,2026-01-21 16:54:09.919708,46,14.73,14,2,104.87,Desktop,Safari,DE
USER000114,84e33b32143d,2026-01-06 13:54:09.919710,24,47.68,22,0,73.4,Desktop,Safari,US
USER000115,75b7abdc37d1,2026-01-14 06:54:09.919712,34,10.95,24,1,90.5,Desktop,Firefox,JP
USER000116,db5e5b73e6cf,2026-01-05 08:54:09.919714,46,2.27,22,1,13.95,Mobile,Chrome,FR
USER000117,9cf3ab27b650,2025-12-28 05:54:09.919715,22,80.93,12,1,120.98,Tablet,Edge,UK
USER000118,d60199b4e21e,2026-01-07 13:54:09.919717,11,15.05,15,1,145.29,Mobile,Safari,JP
USER000119,c53a086a58b1,2026-01-20 11:54:09.919719,48,47.21,23,1,95.11,Mobile,Firefox,UK
USER000120,77346851f3e6,2026-01-02 06:54:09.919721,8,9.82,17,2,109.42,Desktop,Chrome,UK
USER000121,2da828b59782,2026-01-18 21:54:09.919723,39,31.18,18,2,61.14,Mobile,Chrome,AU
USER000122,15eb60ae816a,2026-01-24 05:54:09.919725,43,61.98,23,0,234.94,Mobile,Safari,DE
USER000123,d623e04e09e6,2025-12-30 00:54:09.919726,35,1.28,25,2,107.78,Desktop,Safari,JP
USER000124,9c286d2d2fa2,2026-01-20 11:54:09.919728,49,53.27,13,0,112.37,Desktop,Edge,US
USER000125,39a3f1b592ff,2026-01-08 15:54:09.919730,46,25.41,20,2,163.48,Mobile,Chrome,US
USER000126,063330a9ebf6,2026-01-08 08:54:09.919732,38,28.05,19,1,101.61,Mobile,Edge,FR
USER000127,e5b39dd848be,2026-01-23 20:54:09.919733,8,22.22,17,2,229.42,Mobile,Chrome,UK
USER000128,c16cd232da30,2026-01-20 01:54:09.919735,37,62.26,18,1,90.82,Mobile,Chrome,DE
USER000129,477c4dd785a6,2026-01-24 04:54:09.919737,27,1.33,22,4,71.03,Tablet,Firefox,DE
USER000130,df128ffd936d,2025-12-28 06:54:09.919739,28,9.07,20,1,68.67,Desktop,Safari,FR
USER000131,aa888cf3f53f,2026-01-22 21:54:09.919741,40,62.57,25,1,65.13,Desktop,Chrome,CA
USER000132,34d50954c1c6,2026-01-19 02:54:09.919743,34,41.87,22,1,205.84,Desktop,Edge,DE
USER000133,e4df6d1cab58,2026-01-14 03:54:09.919744,32,0.53,27,3,158.82,Desktop,Safari,DE
USER000134,8cb4cec13d59,2026-01-21 04:54:09.919746,15,21.83,18,2,130.71,Mobile,Edge,US
USER000135,60c3dcdb0171,2026-01-13 07:54:09.919748,44,22.62,12,2,168.04,Mobile,Safari,FR
USER000136,07ae9dd5d2b6,2026-01-18 15:54:09.919750,17,15.37,21,3,293.79,Mobile,Safari,JP
USER000137,239c752b3c17,2025-12-28 23:54:09.919751,33,10.59,23,3,16.61,Desktop,Chrome,DE
USER000138,8b801a80f8dd,2025-12-30 03:54:09.919753,47,34.35,14,2,106.26,Tablet,Firefox,DE
USER000139,bea21d31898b,2026-01-24 04:54:09.919755,46,6.99,23,1,105.46,Desktop,Chrome,US
USER000140,47563daa19f0,2026-01-24 08:54:09.919757,16,48.13,22,3,125.56,Desktop,Safari,JP
USER000141,cc271414fc54,2026-01-20 05:54:09.919759,29,48.74,20,1,278.8,Mobile,Chrome,JP
USER000142,63b6f8ac6146,2026-01-01 14:54:09.919761,9,16.1,21,2,108.46,Mobile,Chrome,DE
USER000143,f8d53ec39a70,2026-01-10 07:54:09.919762,33,10.0,20,2,202.54,Desktop,Safari,US
USER000144,7a8d084a9b41,2026-01-21 02:54:09.919764,49,10.02,12,2,111.21,Desktop,Safari,CA
USER000145,50a4ec2c9ab3,2026-01-16 02:54:09.919766,29,19.75,19,2,123.77,Mobile,Chrome,AU
USER000146,131c47bda7f4,2026-01-18 19:54:09.919768,13,38.14,20,2,72.58,Desktop,Chrome,IN
USER000147,2432150f23f3,2026-01-04 06:54:09.919769,21,13.34,17,3,30.04,Desktop,Chrome,US
USER000148,a87d6a320fb3,2025-12-31 17:54:09.919771,21,28.25,14,0,269.24,Mobile,Edge,US
USER000149,5e5dedc6408a,2026-01-05 19:54:09.919773,5,14.46,19,1,117.36,Desktop,Chrome,DE
USER000150,8e3f7d01c4a8,2026-01-17 18:54:09.919775,10,10.89,22,2,124.12,Desktop,Edge,US
USER000151,32eeed58e02b,2026-01-11 15:54:09.919777,6,0.76,21,3,118.89,Desktop,Firefox,FR
USER000152,6bc56ce87829,2026-01-10 14:54:09.919782,13,0.12,23,0,176.48,Tablet,Edge,UK
USER000153,dde0576abff2,2026-01-04 07:54:09.919784,1,7.73,26,0,47.77,Tablet,Chrome,UK
USER000154,45f98457e683,2026-01-18 03:54:09.919786,20,15.65,16,0,32.46,Desktop,Firefox,CA
USER000155,c166a08ceb59,2026-01-14 08:54:09.919787,47,57.17,19,0,29.84,Desktop,Edge,JP
USER000156,25219d5daa90,2026-01-22 08:54:09.919789,46,48.06,25,3,47.35,Desktop,Edge,US
USER000157,1a7277bce160,2026-01-01 13:54:09.919791,8,9.33,26,2,7.91,Desktop,Safari,JP
USER000158,62beedd59295,2025-12-26 05:54:09.919793,10,8.41,24,2,118.75,Mobile,Firefox,FR
USER000159,ed0bd39ba5aa,2026-01-13 08:54:09.919794,9,7.74,24,1,56.99,Mobile,Safari,DE
USER000160,25720d7b1c79,2025-12-28 23:54:09.919796,49,12.43,25,2,79.5,Desktop,Firefox,DE
USER000161,b61187285617,2026-01-01 13:54:09.919798,41,20.69,27,0,167.41,Desktop,Edge,IN
USER000162,e773fa4297a2,2026-01-19 11:54:09.919800,3,17.32,22,1,57.18,Desktop,Safari,AU
USER000163,e220788faf07,2026-01-23 20:54:09.919801,11,7.39,13,1,58.86,Desktop,Chrome,CA
USER000164,ac9e1d4c9b04,2026-01-22 20:54:09.919803,12,4.19,25,0,99.0,Desktop,Edge,FR
USER000165,3fd83444b165,2026-01-20 08:54:09.919805,10,0.38,21,1,82.12,Mobile,Firefox,JP
USER000166,03acfa1a7b47,2026-01-01 12:54:09.919807,25,5.02,23,1,375.62,Mobile,Firefox,FR
USER000167,259d02ea5fce,2026-01-12 02:54:09.919808,49,36.66,18,0,21.78,Mobile,Safari,IN
USER000168,914c3b46aaa4,2026-01-20 08:54:09.919810,49,8.38,14,0,122.36,Desktop,Safari,IN
USER000169,ea94639b6a2e,2026-01-02 22:54:09.919812,25,18.97,15,2,56.35,Mobile,Firefox,DE
USER000170,ffdf7d7c8d75,2026-01-07 00:54:09.919814,11,26.84,16,0,94.79,Desktop,Edge,JP
USER000171,654880f4753f,2026-01-18 16:54:09.919816,36,65.37,20,3,85.6,Desktop,Safari,AU
USER000172,45638ce26075,2026-01-24 16:54:09.919817,39,65.91,30,0,173.25,Mobile,Chrome,DE
USER000173,6ce2e0a07983,2026-01-15 04:54:09.919819,26,41.08,17,2,114.84,Desktop,Firefox,AU
USER000174,f50965c7d0dd,2026-01-23 17:54:09.919821,14,1.07,16,3,97.32,Mobile,Chrome,UK
USER000175,351821e6d4ba,2026-01-15 01:54:09.919823,39,25.67,21,3,210.3,Mobile,Firefox,FR
USER000176,6179b74caff2,2026-01-06 12:54:09.919825,40,46.34,16,3,101.22,Tablet,Chrome,IN
USER000177,fc3e9b27a4dc,2026-01-08 07:54:09.919826,1,0.52,20,1,15.46,Tablet,Edge,UK
USER000178,a19e6c9e810e,2026-01-18 11:54:09.919828,4,23.93,21,1,154.34,Desktop,Firefox,JP
USER000179,82a618a90dcd,2026-01-09 16:54:09.919830,30,58.51,24,1,125.24,Tablet,Edge,DE
USER000180,0c7713cc35ba,2025-12-27 18:54:09.919832,12,19.28,23,0,188.79,Mobile,Safari,CA
USER000181,102fcb566f64,2026-01-12 12:54:09.919833,35,0.12,24,0,152.25,Mobile,Firefox,US
USER000182,537b576d8bc3,2026-01-15 02:54:09.919835,13,0.33,17,3,52.3,Desktop,Edge,CA
USER000183,3cd29e2fc49a,2025-12-26 13:54:09.919837,31,16.17,19,2,2.04,Mobile,Chrome,CA
USER000184,e1e81e0afe60,2026-01-08 08:54:09.919839,38,5.05,18,2,177.32,Desktop,Edge,US
USER000185,e96c261678c4,2025-12-26 10:54:09.919842,43,32.76,14,3,99.42,Mobile,Firefox,FR
USER000186,17172860705f,2026-01-19 22:54:09.919845,23,37.01,20,2,61.87,Desktop,Edge,UK
USER000187,1524dc52cc18,2026-01-03 18:54:09.919849,4,5.88,25,2,57.09,Mobile,Chrome,UK
USER000188,40129ba24537,2026-01-17 12:54:09.919852,16,65.82,19,2,111.48,Desktop,Chrome,FR
USER000189,1ce77e0edfb6,2026-01-20 01:54:09.919855,7,17.5,31,0,69.34,Desktop,Chrome,US
USER000190,2a76775c9b2e,2026-01-15 04:54:09.919858,22,4.62,21,1,33.82,Desktop,Safari,AU
USER000191,f994910e5484,2026-01-20 09:54:09.919861,29,43.35,21,3,29.27,Desktop,Firefox,CA
USER000192,80acc50a385c,2026-01-12 17:54:09.919864,11,46.82,25,3,86.12,Desktop,Chrome,DE
USER000193,9d218f1c5a59,2026-01-09 12:54:09.919867,33,30.59,16,3,50.21,Desktop,Safari,UK
USER000194,3de55b87bbc4,2026-01-21 11:54:09.919871,29,57.61,20,1,41.25,Mobile,Chrome,FR
USER000195,e7890e546557,2025-12-29 11:54:09.919874,39,40.11,21,3,231.22,Mobile,Edge,DE
USER000196,2918ac836c43,2026-01-10 12:54:09.919877,12,64.16,18,0,45.39,Mobile,Firefox,IN
USER000197,8df66b71f571,2026-01-19 16:54:09.919880,7,17.07,18,0,128.73,Desktop,Edge,US
USER000198,3e5bb76eecb4,2026-01-09 08:54:09.919883,39,41.3,25,1,139.07,Desktop,Safari,DE
USER000199,69483c269855,2026-01-21 03:54:09.919886,42,249.01,23,1,38.16,Desktop,Edge,JP
USER000200,11d193603445,2026-01-22 21:54:09.919888,48,38.72,30,1,39.25,Tablet,Edge,DE
USER000201,af6a78615e8e,2025-12-29 22:54:09.919889,26,3.64,23,1,33.99,Mobile,Chrome,JP
USER000202,612c9f608d8d,2026-01-18 07:54:09.919892,40,21.91,19,0,53.74,Desktop,Edge,CA
USER000203,1318d127c8e8,2026-01-17 03:54:09.919893,9,26.55,28,1,124.57,Desktop,Chrome,US
USER000204,81cd5adcbf25,2026-01-06 11:54:09.919895,41,5.74,22,2,88.66,Mobile,Chrome,DE
USER000205,c000367dbff3,2026-01-02 02:54:09.919897,34,98.82,18,2,179.25,Mobile,Firefox,UK
USER000206,64b29c7aa07c,2026-01-10 11:54:09.919899,45,5.79,22,0,143.91,Mobile,Safari,US
USER000207,041f83aa2e38,2025-12-30 03:54:09.919900,13,5.86,20,1,153.0,Mobile,Safari,UK
USER000208,c0796e621da9,2026-01-17 00:54:09.919902,36,74.01,16,2,199.58,Desktop,Safari,FR
USER000209,c8c3ea78f91e,2025-12-26 18:54:09.919904,25,18.78,21,2,86.86,Desktop,Chrome,FR
USER000210,4c912e49fe41,2026-01-06 14:54:09.919906,24,1.96,29,1,113.99,Desktop,Safari,IN
USER000211,467bded0d1c1,2026-01-18 08:54:09.919907,44,27.35,26,2,167.16,Desktop,Chrome,AU
USER000212,c70b1f370936,2025-12-27 06:54:09.919909,17,27.63,18,3,189.84,Desktop,Firefox,FR
USER000213,c59b4e042978,2025-12-26 10:54:09.919911,2,2.0,23,0,121.94,Mobile,Safari,DE
USER000214,035375994a62,2026-01-11 21:54:09.919913,13,107.83,15,1,17.74,Desktop,Chrome,US
USER000215,9ef4347f2f95,2025-12-29 02:54:09.919915,31,23.56,24,1,302.93,Desktop,Safari,FR
USER000216,629e89d4d6d3,2026-01-12 12:54:09.919916,29,24.62,17,2,85.33,Desktop,Safari,UK
USER000217,d4d38df9ed5d,2026-01-09 21:54:09.919918,28,22.03,25,0,62.17,Desktop,Firefox,DE
USER000218,396d481b9d32,2026-01-20 07:54:09.919920,27,28.3,31,1,46.95,Desktop,Edge,FR
USER000219,5e5bbaff2b5a,2026-01-13 04:54:09.919922,15,9.21,22,1,147.65,Mobile,Safari,JP
USER000220,643e263a564d,2026-01-03 10:54:09.919923,31,10.16,23,3,123.81,Mobile,Firefox,JP
USER000221,5e434db99237,2025-12-27 12:54:09.919925,40,21.48,22,2,47.61,Desktop,Safari,CA
USER000222,c403dc48f27b,2026-01-09 00:54:09.919927,15,49.3,14,2,18.97,Mobile,Safari,UK
USER000223,ee34c2849f23,2026-01-13 10:54:09.919929,33,1.53,14,2,47.14,Desktop,Safari,IN
USER000224,be5b71473493,2026-01-21 11:54:09.919931,20,27.75,26,0,155.39,Mobile,Safari,IN
USER000225,df05bc61156d,2026-01-24 15:54:09.919933,42,49.32,13,3,91.44,Desktop,Edge,IN
USER000226,82bfc93121e0,2026-01-18 09:54:09.919934,12,5.12,21,2,24.89,Desktop,Edge,UK
USER000227,d8018d873aec,2025-12-27 18:54:09.919936,37,0.45,35,1,44.11,Mobile,Safari,IN
USER000228,d52f55289848,2026-01-18 11:54:09.919938,9,11.25,18,2,81.98,Desktop,Safari,AU
USER000229,c375567f55d1,2026-01-11 02:54:09.919940,23,26.61,24,2,102.32,Desktop,Firefox,CA
USER000230,2bd15062b177,2026-01-18 10:54:09.919941,8,4.46,14,3,63.48,Desktop,Firefox,AU
USER000231,9715e07a8b3a,2026-01-08 02:54:09.919943,32,16.66,22,0,108.69,Desktop,Chrome,JP
USER000232,4ac70af5a24b,2026-01-05 16:54:09.919945,48,24.11,21,4,143.96,Desktop,Edge,FR
USER000233,49e850329978,2026-01-04 08:54:09.919947,14,27.41,24,3,69.12,Mobile,Safari,CA
USER000234,b3acbcf1538a,2026-01-21 21:54:09.919949,27,9.62,15,1,210.56,Mobile,Edge,UK
USER000235,7bd779415483,2026-01-19 22:54:09.919951,25,15.33,17,0,40.55,Mobile,Firefox,AU
USER000236,0fa7c21dd203,2025-12-31 02:54:09.919953,13,45.2,22,0,32.62,Desktop,Edge,DE
USER000237,b0f3cd6dd07c,2026-01-06 12:54:09.919955,21,85.02,19,4,198.61,Desktop,Edge,CA
USER000238,3b24b7ce8ee6,2026-01-12 20:54:09.919957,45,59.39,15,2,5.35,Desktop,Safari,UK
USER000239,f2b579f2c08c,2026-01-18 13:54:09.919959,31,24.92,20,1,52.5,Desktop,Safari,US
USER000240,7b0e71326c7c,2026-01-20 21:54:09.919961,37,15.84,20,1,62.51,Mobile,Firefox,CA
USER000241,8ced4e1be700,2026-01-10 23:54:09.919963,48,12.15,17,1,143.26,Desktop,Safari,CA
USER000242,433f4e7d128c,2026-01-19 07:54:09.919965,43,4.0,15,2,19.32,Mobile,Firefox,FR
USER000243,abfe7eb907c7,2026-01-16 23:54:09.919967,5,3.38,21,1,106.84,Desktop,Firefox,DE
USER000244,536d2c5e3bc9,2026-01-08 07:54:09.919968,13,34.98,20,3,91.39,Desktop,Chrome,FR
USER000245,75294561765b,2026-01-09 16:54:09.919970,28,9.02,15,2,273.2,Desktop,Chrome,IN
USER000246,5a694637f41d,2026-01-11 03:54:09.919972,43,8.82,23,2,41.82,Desktop,Chrome,CA
